shd,num_edges,bic,bdeu,posterior_predictive_loglik,neg_posterior_predictive_loglik,rank
92.0,48.0,-12169.54922609802,-11548.637123055569,-10955.565498755033,10955.565498755033,1
92.0,48.0,-12138.70195217322,-11538.338917201294,-10955.41736109388,10955.41736109388,2
93.0,49.0,-12150.458842984955,-11551.719223555094,-10955.678181174464,10955.678181174464,3
91.0,49.0,-12157.571976106467,-11555.275175836035,-10962.133307943592,10962.133307943592,4
93.0,49.0,-12192.16898633317,-11558.212900724546,-10954.549954818749,10954.549954818749,5
93.0,49.0,-12270.981401490611,-11589.242537233045,-10973.737348664748,10973.737348664748,6
94.0,48.0,-12189.331791931329,-11595.528017213295,-10985.71980602252,10985.71980602252,7
90.0,50.0,-12245.570106034867,-11570.700205243746,-10964.428592827964,10964.428592827964,8
93.0,49.0,-12242.574609656695,-11604.463910050554,-10983.529772766144,10983.529772766144,9
94.0,50.0,-12245.835612933279,-11581.185423917932,-10977.00366088428,10977.00366088428,10
95.0,51.0,-12219.08867994601,-11597.6905755122,-10969.235887801897,10969.235887801897,11
96.0,52.0,-12254.704151375643,-11638.73337718259,-11006.35693196711,11006.35693196711,12
94.0,50.0,-12217.428821099362,-11596.40679673544,-10986.796084985675,10986.796084985675,13
94.0,50.0,-12250.36462608113,-11640.829872604741,-11019.516661827989,11019.516661827989,14
92.0,48.0,-12240.559795512585,-11639.85230058117,-11038.19645715832,11038.19645715832,15
96.0,52.0,-12355.409755784223,-11649.551509306353,-11008.530522437231,11008.530522437231,16
96.0,52.0,-12282.368225005344,-11668.72729385172,-11022.162433278507,11022.162433278507,17
96.0,52.0,-12357.49828684119,-11683.67637932138,-11041.10296161839,11041.10296161839,18
96.0,52.0,-12307.001030641357,-11693.0441077972,-11057.846759995857,11057.846759995857,19
