iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
0,11.102763652801514,15.646809577941895,46.45,0.47,0.4775707384403037,0.022053331801281998,0.03311496843890987,-20832.329365957732,-20473.634225047965,-20841.32929964744,-20480.57180529274,,,,0.0,0.0001,20633.949021120647,-20267.358768781072
1,21.376115560531616,3.060739755630493,46.465,0.485,0.47717637779749583,0.02199090982874767,0.03311225444010403,-20832.246926508895,-20473.634225047965,-20841.187275202996,-20480.57180529274,,,,4.500150680541992e-05,0.0001,,
10,28.24710726737976,3.0534162521362305,46.48,0.505,0.47455552269216866,0.021589993448449845,0.03309482329313456,-20825.90604992949,-20356.81659484392,-20834.771908565923,-20359.082398307233,,,,0.0004500150680541992,0.0001,,
50,59.10662817955017,3.0731194019317627,46.41,0.465,0.49172664234776037,0.05080325961854426,0.0544032132595552,-20825.70833569832,-20223.21544686385,-20834.43309097788,-20229.176111191868,130.9230499267578,123.09307861328125,124.34015655517578,0.0022500157356262207,0.0001,,
100,69.53564310073853,4.034837245941162,52.455,7.215,0.4964671859081798,0.03426003172040459,0.034981664457864804,-20643.38471222623,-19231.29601991269,-20634.934997536846,-19147.539596749943,165.33139038085938,149.5608673095703,163.111328125,0.004499971866607666,0.0001,,
500,99.2916009426117,15.875828981399536,157.875,125.3,0.4750402576489533,0.03617724474407909,0.041376898685429854,-30286.557313152607,-19861.534816583036,-19735.10919087671,-17884.29025422059,136.19515991210938,144.2545623779297,140.19644165039062,0.02249997854232788,0.0001,,
1000,124.4098789691925,17.62134838104248,160.65,128.135,0.4907736041276414,0.03232858874554055,0.03366420010846724,-29235.023185465183,-20842.517584461904,-20091.142593095883,-18423.919393249816,148.89797973632812,144.31723022460938,136.35203552246094,0.04500001668930054,0.0001,,
2000,156.96272230148315,44.97894906997681,177.84,147.29,0.5172204147359428,0.034680200584245494,0.03634872247475627,-29279.479838612933,-20842.789695721985,-20160.98821125337,-18236.048837957747,155.602294921875,136.84683227539062,138.8524169921875,0.09000003337860107,0.0001,17450.195407778934,-15292.39860640279
3000,216.90892887115479,17.7131085395813,182.57,152.05,0.5083801636596668,0.03352542820024441,0.03498577557721795,-28481.431178257757,-20842.789695721985,-20264.003742071338,-18649.939910138044,122.84833526611328,137.74789428710938,135.13699340820312,0.13499999046325684,0.0001,,
4000,249.67946195602417,46.62953495979309,187.18,157.34,0.516628873771731,0.03666689345989231,0.03862751717083711,-28518.82226988144,-20842.789695721985,-19916.7653536828,-18136.606445057572,102.41072845458984,136.9215850830078,131.4097442626953,0.18000000715255737,0.0001,17642.97739508607,-15699.305003778612
5000,311.04572105407715,17.591788053512573,189.585,157.71,0.48254954155575275,0.032739241273066794,0.034513132306433145,-27079.38332810979,-20842.789695721985,-20147.469358083323,-19016.503942085827,126.04788970947266,141.5864715576172,139.07275390625,0.2250000238418579,0.0001,,
