iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
0,7.535027027130127,7.111562967300415,8.615,1.01,0.5279017857142857,0.16079707064199544,0.19050401465814998,-2936.763985092188,-2437.3530772357844,-2937.512951627078,-2430.162764635084,,,,0.0,0.0001,2909.984593344944,-2379.195559503962
1,10.101668357849121,0.7490067481994629,8.645,1.01,0.48660714285714285,0.13129556281576957,0.1457377322273939,-2935.889948326203,-2437.3530772357844,-2936.610943926367,-2430.162764635084,,,,4.500150680541992e-05,0.0001,,
10,13.867243528366089,0.7731852531433105,8.65,1.04,0.5111607142857142,0.17506686787180997,0.20232190098261527,-2934.207995621739,-2598.6313329555246,-2934.800001595674,-2599.4574158914047,,,,0.0004500150680541992,0.0001,,
50,29.993999242782593,1.247467279434204,10.85,5.05,0.6283482142857143,0.15753771891269366,0.18228450005733288,-2809.160324540264,-2409.3376596815483,-2798.9575055354917,-2387.942245957454,92.5767822265625,102.7362289428711,102.67411041259766,0.0022500157356262207,0.0001,,
100,39.42030096054077,3.9114530086517334,22.84,26.02,0.5959821428571429,0.20768661578892975,0.25202366447829244,-3086.3699149700205,-2501.777430509607,-2455.6902059796003,-2382.0451371638196,120.2586441040039,104.94349670410156,109.12557220458984,0.004499971866607666,0.0001,,
500,45.1220817565918,2.2588932514190674,23.605,28.0,0.6305803571428572,0.1573475697812748,0.18128738038277512,-3106.6230296022295,-3106.6230296022286,-2419.313810238951,-2419.3138102389476,100.17462921142578,101.07805633544922,105.16986846923828,0.02249997854232788,0.0001,,
1000,51.29012393951416,2.2810447216033936,24.21,28.0,0.53125,0.12612308095146973,0.1492969067969068,-3106.6230296022295,-3106.6230296022286,-2419.313810238951,-2419.3138102389466,87.49188232421875,90.9705581665039,92.20787811279297,0.04500001668930054,0.0001,,
2000,60.85183525085449,7.496450424194336,20.26,24.43,0.6953125,0.31853603652516693,0.3100416759112411,-2699.7580364782707,-2470.0192205576086,-2388.3226281547186,-2352.720260781735,85.39466857910156,74.57437896728516,70.21884155273438,0.09000003337860107,0.0001,2280.4489414910877,-2267.853700684052
3000,75.84626340866089,2.123199939727783,20.525,25.13,0.7120535714285715,0.40727645234345117,0.37485848452373216,-2734.9311530508835,-2489.285259389709,-2385.0916358484124,-2343.7366852065634,46.29603576660156,60.06950378417969,55.218406677246094,0.13499999046325684,0.0001,,
4000,85.33121347427368,7.242828369140625,20.76,24.265,0.5658482142857142,0.17858116122567877,0.21774680906127483,-2640.7508094962523,-2509.690410665491,-2381.1730473349376,-2352.9442308737334,43.91115951538086,40.92710876464844,42.77096939086914,0.18000000715255737,0.0001,2274.5639342054405,-2266.8112335318915
5000,100.01485419273376,2.164202928543091,21.37,25.59,0.6428571428571429,0.2687070100792927,0.283556939739005,-2754.427961559833,-2487.3952995842365,-2396.864549554695,-2355.572638197096,38.31621551513672,38.11720275878906,35.12682342529297,0.2250000238418579,0.0001,,
6000,109.46976900100708,7.149643659591675,19.85,23.405,0.6506696428571428,0.23752762065309607,0.28317593864468865,-2647.759635871387,-2432.0863438509296,-2385.126954494501,-2350.1943163453407,33.12934494018555,33.157066345214844,31.400100708007812,0.2699999213218689,0.0001,2276.032544264915,-2265.329102102267
7000,123.80207920074463,2.131986379623413,20.29,24.49,0.6796875,0.263326161021481,0.2515563630374285,-2676.7637656396873,-2487.493027684551,-2386.243367081082,-2357.7917545977757,22.948911666870117,27.211177825927734,25.079919815063477,0.3149999976158142,0.0001,,
8000,133.42578125,7.407272815704346,20.23,25.85,0.7890625,0.4704545588809327,0.4880855352507829,-2854.6126578173335,-2536.7235540973834,-2400.4786091621445,-2362.2601931970144,18.534255981445312,20.773841857910156,21.40346336364746,0.35999995470046997,0.0001,2284.865184454664,-2272.0700414859925
9000,148.12836933135986,2.1507458686828613,22.75,25.42,0.6651785714285714,0.40404329466829464,0.22404100529100526,-2723.9423537838925,-2616.5629278865163,-2400.198334035096,-2383.2938509098076,16.947105407714844,19.34855079650879,17.575231552124023,0.4049999713897705,0.0001,,
10000,157.86247611045837,7.5391623973846436,23.055,26.82,0.5725446428571429,0.25354855797260356,0.1517888063686049,-2866.474577594877,-2776.3920634401165,-2412.1842021892885,-2407.2892782444296,20.477792739868164,18.102357864379883,17.713167190551758,0.44999998807907104,0.0001,2288.7899877919763,-2288.385722921701
11000,172.51081252098083,2.1098477840423584,19.475,24.39,0.7131696428571429,0.4375294225816672,0.2613345439390331,-2670.636175396851,-2564.9614258796673,-2387.5490358786474,-2374.528660024551,22.59756088256836,17.578813552856445,18.876407623291016,0.4950000047683716,0.0001,,
