shd,num_edges,bic,bdeu,posterior_predictive_loglik,neg_posterior_predictive_loglik,rank
9.0,26.0,-12784.470535197834,-12811.550752203675,-12103.355423518125,12103.355423518125,1
11.0,26.0,-12799.233754833678,-12830.124190858252,-12111.190277073392,12111.190277073392,2
8.0,27.0,-12799.991765646708,-12837.250572578037,-12104.051102097956,12104.051102097956,3
10.0,25.0,-12785.849569879145,-12817.902786602574,-12130.534521447507,12130.534521447507,4
12.0,25.0,-12785.849569879145,-12817.902786602572,-12130.53452144751,12130.53452144751,5
9.0,26.0,-12825.0811157922,-12845.645974016097,-12121.423090223192,12121.423090223192,6
15.0,26.0,-12839.844335428044,-12864.219412670673,-12129.257943778457,12129.257943778457,7
12.0,27.0,-12878.33503188084,-12907.745309367523,-12128.241563667978,12128.241563667978,8
14.0,27.0,-12878.335031880843,-12907.745309367525,-12128.241563667978,12128.241563667978,9
10.0,27.0,-12878.335031880844,-12907.745309367523,-12128.241563667978,12128.241563667978,10
16.0,27.0,-12980.13521536118,-12978.178998328605,-12150.397375579347,12150.397375579347,11
