iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
50,34.3718364238739,2.2476534843444824,27.34,2.89,0.4924266666666667,0.06130453442430557,0.06626940906908593,-17119.394674409956,-15886.327319318874,-17129.64272274426,-15829.49542743778,198.3413543701172,212.321044921875,208.587646484375,0.0022500157356262207,0.0001,,
100,42.28014898300171,5.910085439682007,55.755,40.385,0.6204266666666667,0.10061487772870971,0.11104292965306742,-22635.77740748034,-15686.067974870391,-17755.70104389906,-15725.298826372267,154.5868682861328,214.12551879882812,195.5831298828125,0.004499971866607666,0.0001,,
500,57.358622789382935,10.446895599365234,80.15,74.425,0.7161599999999999,0.1260277525126251,0.13570164780438757,-25793.996487362663,-22372.06833738177,-19414.525792348904,-17815.029895404394,184.44371032714844,170.3252716064453,168.59591674804688,0.02249997854232788,0.0001,,
1000,72.19939589500427,8.869493246078491,84.23,77.02,0.6564800000000001,0.09050204055146462,0.09785440392853498,-25491.816727491972,-22884.359334008226,-19569.173550314175,-18109.420679343242,163.89268493652344,175.17295837402344,170.33880615234375,0.04500001668930054,0.0001,,
2000,92.86107540130615,23.964725971221924,87.975,80.03,0.6265066666666667,0.083364144119693,0.09080388245954997,-25827.59937750454,-23743.57289092001,-19167.37913194147,-18123.843866556515,200.73922729492188,191.22401428222656,184.823974609375,0.09000003337860107,0.0001,14738.148136160991,-13841.397488914265
3000,127.50770354270935,7.872438907623291,85.275,82.36,0.63744,0.12160434652732546,0.11367785952461468,-26510.897196607155,-24598.938060405315,-18719.631457795655,-17765.105284423847,335.1878662109375,198.89756774902344,212.64736938476562,0.13499999046325684,0.0001,,
4000,147.09162855148315,23.028156518936157,83.035,78.605,0.6754133333333333,0.17790233407496223,0.17704593026020454,-26078.005676357177,-23409.518585816913,-19120.770950625247,-18266.25994740648,211.40518188476562,196.23837280273438,195.68087768554688,0.18000000715255737,0.0001,14667.289173104997,-14084.987605144957
5000,181.0104067325592,7.478641748428345,89.095,89.58,0.62192,0.19977550959017393,0.14316880493895673,-26198.50226617342,-25156.853870390274,-18946.4833735249,-18277.72646309119,199.29527282714844,192.491455078125,187.63259887695312,0.2250000238418579,0.0001,,
6000,199.8442301750183,23.799097776412964,93.98,92.49,0.6134933333333333,0.21297448366740773,0.13625637568659257,-26244.39563352965,-25238.076820523707,-18910.783087260268,-18132.15380809513,125.59233856201172,187.33595275878906,182.02516174316406,0.2699999213218689,0.0001,14465.087803892298,-13896.542494234054
7000,235.2698130607605,7.249411582946777,91.775,90.405,0.64688,0.19528311836205492,0.1344020695339242,-26171.13204642515,-25138.625100546582,-19220.733463679244,-18410.8947324196,233.74139404296875,180.449462890625,182.04530334472656,0.3149999976158142,0.0001,,
