shd,num_edges,bic,bdeu,posterior_predictive_loglik,neg_posterior_predictive_loglik,rank
57.0,67.0,-53343.00244423916,-52874.65044971847,-49381.476292599145,49381.476292599145,1
68.0,68.0,-53350.11660261736,-52851.646185109035,-49387.26125746453,49387.26125746453,2
99.0,71.0,-53410.958947304534,-52958.65505406996,-49375.990523788365,49375.990523788365,3
87.0,71.0,-53457.04840066482,-53005.07073736906,-49373.40743370578,49373.40743370578,4
86.0,70.0,-53430.38278495029,-52964.75870223308,-49370.30575046769,49370.30575046769,5
71.0,67.0,-53369.58352198443,-52894.65251819967,-49410.67864241734,49410.67864241734,6
73.0,69.0,-53384.355923636525,-52896.90851106709,-49395.11609804154,49395.11609804154,7
80.0,70.0,-53509.26927907913,-52919.82139364806,-49382.36785651958,49382.36785651958,8
64.0,70.0,-53548.02691057874,-52975.90841549976,-49388.186055765174,49388.186055765174,9
71.0,71.0,-53563.74077958717,-52995.38567457822,-49380.95142645926,49380.95142645926,10
64.0,70.0,-53555.45086710292,-52983.716747236955,-49396.577221352316,49396.577221352316,11
78.0,70.0,-53555.199230690654,-52984.40601243785,-49383.45737955459,49383.45737955459,12
80.0,72.0,-53507.94456371467,-52967.773656915764,-49404.408723131004,49404.408723131004,13
73.0,69.0,-53580.84993752363,-52919.46948949353,-49395.08843739383,49395.08843739383,14
96.0,72.0,-53589.84302302154,-53054.21204514702,-49406.81576600518,49406.81576600518,15
84.0,72.0,-53754.498449380946,-53135.87498118469,-49398.586748818925,49398.586748818925,16
88.0,70.0,-53692.76472241251,-53073.08016479636,-49514.131649073846,49514.131649073846,17
