,N0_7muVerMo,SubjVertMo,QGVertMotion,CombVerMo,AreaMeso_ALS,SatContMoist,RaoContMoist,CombMoisture,AreaMoDryAir,VISCloudCov,IRCloudCover,CombClouds,CldShadeOth,AMInstabMt,InsInMt,WndHodograph,OutflowFrMt,MorningBound,Boundaries,CldShadeConv,CompPlFcst,CapChange,LoLevMoistAd,InsChange,MountainFcst,Date,Scenario,ScenRelAMCIN,MorningCIN,AMCINInScen,CapInScen,ScenRelAMIns,LIfr12ZDENSd,AMDewptCalPl,AMInsWliScen,InsSclInScen,ScenRel3_4,LatestCIN,LLIW,CurPropConv,ScnRelPlFcst,PlainsFcst,N34StarFcst,R5Fcst,Dewpoints,LowLLapse,MeanRH,MidLLapse,MvmtFeatures,RHRatio,SfcWndShfDis,SynForcng,TempDis,WindAloft,WindFieldMt,WindFieldPln
0,StrongUp,Neutral,Neutral,StrongUp,StrongUp,Neutral,VeryWet,Wet,VeryWet,Clear,Clear,Clear,PC,None,None,DCVZFavor,None,Strong,None,None,DecCapIncIns,Decreasing,Negative,Decreasing,XNIL,Jul2_Jul15,E,CThruK,Stifling,MoreThanAve,Average,CDEJ,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,ACEFK,Stifling,Moderate,Moderate,E,XNIL,XNIL,XNIL,LowAtStation,CloseToDryAd,Average,Steep,MarkedUpper,MoistMDryL,None,LittleChange,QStationary,SWQuad,Westerly,LV
1,Neutral,Down,WeakUp,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Clear,Clear,Clear,Clear,Strong,Strong,StrongWest,Strong,Weak,Weak,Marked,IncCapDecIns,Increasing,WeakPos,Increasing,SVR,Jul2_Jul15,K,CThruK,PartInhibit,Average,MoreThanAve,K,N5GtLIGt_8,Stability,LessUnstable,Average,ACEFK,None,Unfavorable,None,K,XNIL,XNIL,SVR,HighEvrywher,Steep,VeryMoist,Steep,StrongFront,DryMMoistL,DryLine,SigNegative,Other,AllElse,Westerly,SEQuad
2,WeakUp,Neutral,Neutral,Neutral,Neutral,Neutral,Wet,Neutral,Neutral,Clear,PC,PC,PC,Strong,Strong,DCVZFavor,Weak,None,Strong,Some,IncCapDecIns,Increasing,Negative,Decreasing,SIG,Aug20_Sep15,C,CThruK,Stifling,Average,Average,CDEJ,N1GtLIGt_4,Stability,Average,LessUnstable,ACEFK,None,Moderate,Strong,C,XNIL,XNIL,SIG,LowEvrywhere,CloseToDryAd,Average,Steep,MarkedUpper,MoistMDryL,E_W_N,SigPositive,None,NWQuad,Westerly,LongAnticyc
3,StrongUp,Neutral,Neutral,WeakUp,WeakUp,Dry,VeryWet,Dry,Neutral,PC,Cloudy,Cloudy,Cloudy,Strong,Strong,Other,Weak,None,Weak,None,LittleChange,LittleChange,Neutral,LittleChange,SIG,Jul16_Aug10,I,CThruK,PartInhibit,Average,Average,ABI,N1GtLIGt_4,Instability,MoreUnstable,MoreUnstable,HI,Stifling,Weak,Slight,I,XNIL,XNIL,SIG,LowSHighN,ModerateOrLe,Dry,CloseToDryAd,NoMajor,Other,E_W_S,NegToPos,QStationary,SWQuad,Westerly,E_NE
4,StrongUp,Down,Neutral,WeakUp,WeakUp,Dry,Wet,Neutral,Neutral,Clear,PC,PC,Clear,Weak,Strong,Other,Strong,None,Strong,Some,IncCapDecIns,Increasing,Neutral,LittleChange,SIG,Aug20_Sep15,G,CThruK,None,LessThanAve,Average,G,LIGt0,Instability,Average,MoreUnstable,GJ,None,Moderate,Strong,G,SIG,SIG,SIG,LowAtStation,CloseToDryAd,Average,CloseToDryAd,OtherRapid,MoistMDryL,None,LittleChange,None,AllElse,Westerly,WidespdDnsl
5,StrongUp,Neutral,Neutral,StrongUp,StrongUp,Neutral,Neutral,Wet,Wet,Clear,PC,PC,PC,None,None,StrongWest,None,None,None,None,IncCapDecIns,Increasing,Negative,Decreasing,XNIL,Jul2_Jul15,B,AB,PartInhibit,Average,MoreThanAve,ABI,LIGt0,Instability,Average,LessUnstable,B,None,Weak,Slight,B,SIG,SIG,SIG,HighEvrywher,Stable,VeryMoist,CloseToDryAd,NoMajor,Other,DenvCyclone,LittleChange,Moving,AllElse,LVorOther,DenvCyclone
6,WeakUp,WeakUp,WeakUp,WeakUp,WeakUp,VeryWet,Dry,Dry,Dry,PC,PC,PC,PC,Strong,Strong,Westerly,Weak,Weak,Weak,Marked,DecCapIncIns,Decreasing,StrongPos,Increasing,SVR,May15_Jun14,K,CThruK,None,LessThanAve,LessThanAve,K,N1GtLIGt_4,Instability,Average,Average,ACEFK,None,Weak,Slight,K,SIG,SIG,SVR,HighEvrywher,ModerateOrLe,Average,Steep,MarkedUpper,Other,MovingFtorOt,SigPositive,Moving,AllElse,Westerly,WidespdDnsl
7,StrongUp,StronUp,Neutral,WeakUp,WeakUp,Neutral,Wet,Neutral,Wet,PC,Clear,PC,Clear,Weak,Strong,DCVZFavor,Weak,None,Weak,Some,DecCapIncIns,Decreasing,WeakPos,Increasing,SIG,Jun15_Jul1,K,CThruK,PartInhibit,Average,Average,K,N1GtLIGt_4,Neutral,Average,Average,ACEFK,None,Weak,Moderate,K,XNIL,XNIL,SIG,LowEvrywhere,Steep,Dry,ModerateOrLe,MarkedUpper,DryMMoistL,Other,SigPositive,Other,NWQuad,LVorOther,LongAnticyc
8,StrongUp,Neutral,Neutral,WeakUp,WeakUp,VeryWet,Neutral,Wet,Wet,PC,Clear,PC,PC,Weak,Strong,Westerly,Strong,Weak,Strong,Marked,IncCapDecIns,Increasing,StrongPos,Increasing,SVR,May15_Jun14,C,CThruK,PartInhibit,Average,MoreThanAve,CDEJ,N1GtLIGt_4,Neutral,LessUnstable,LessUnstable,ACEFK,TotalInhibit,Moderate,None,C,SIG,SIG,SVR,LowEvrywhere,Steep,Average,Steep,OtherRapid,DryMMoistL,Other,SigPositive,None,AllElse,LVorOther,LongAnticyc
9,WeakUp,StronUp,StrongUp,StrongUp,StrongUp,Neutral,Neutral,Neutral,Neutral,PC,PC,PC,PC,None,None,Westerly,None,Weak,None,None,IncCapDecIns,Increasing,Neutral,Increasing,XNIL,May15_Jun14,H,CThruK,PartInhibit,Average,Average,H,N5GtLIGt_8,Neutral,MoreUnstable,MoreUnstable,HI,None,Weak,Moderate,H,XNIL,XNIL,XNIL,LowMtsHighPl,Stable,Average,CloseToDryAd,MarkedUpper,DryMMoistL,E_W_S,SigNegative,None,LV,Westerly,E_NE
10,StrongUp,Neutral,Neutral,WeakUp,WeakUp,Dry,Neutral,Dry,Dry,PC,PC,PC,PC,Weak,Weak,Other,None,None,None,None,DecCapIncIns,Decreasing,Negative,Decreasing,SIG,Aug11_Aug20,K,CThruK,PartInhibit,MoreThanAve,LessThanAve,K,LILt_8,Instability,MoreUnstable,Average,ACEFK,Stifling,Moderate,Slight,K,SIG,SVR,SVR,LowSHighN,Stable,Average,CloseToDryAd,StrongFront,DryMMoistL,MovingFtorOt,SigNegative,None,NWQuad,Westerly,SEQuad
