shd,num_edges,bic,bdeu,posterior_predictive_loglik,neg_posterior_predictive_loglik,rank
10.0,17.0,-72480.0180007091,-72294.77897583038,-71742.95733550412,71742.95733550412,1
8.0,17.0,-72480.01800070911,-72294.77897583038,-71742.95733550414,71742.95733550414,2
14.0,17.0,-72480.01800070911,-72294.77897583037,-71742.95733550412,71742.95733550412,3
10.0,17.0,-72480.01800070911,-72294.77897583037,-71742.95733550414,71742.95733550414,4
4.0,17.0,-72480.0180007091,-72294.77897583038,-71742.95733550414,71742.95733550414,5
12.0,17.0,-72480.0180007091,-72294.77897583036,-71742.95733550414,71742.95733550414,6
10.0,17.0,-72480.0180007091,-72294.77897583038,-71742.95733550412,71742.95733550412,7
14.0,17.0,-72480.0180007091,-72294.77897583038,-71742.95733550412,71742.95733550412,8
18.0,17.0,-72480.0180007091,-72294.77897583037,-71742.9573355041,71742.9573355041,9
12.0,17.0,-72480.0180007091,-72294.77897583038,-71742.95733550412,71742.95733550412,10
12.0,17.0,-72480.0180007091,-72294.77897583038,-71742.95733550412,71742.95733550412,11
9.0,18.0,-72632.57825980699,-72400.61186299413,-71745.64102528841,71745.64102528841,12
23.0,18.0,-72641.31080517634,-72372.93716063826,-71744.57322454889,71744.57322454889,13
