iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
0,9.653676986694336,11.420663118362427,17.54,0.95,0.5246040723981901,0.18550726278965032,0.17072280098554996,-93157.35561121476,-88279.12341222122,-93162.23325632079,-88281.3448636715,,,,0.0,0.0001,93052.23235248635,-88095.37294901177
1,16.369070053100586,2.544646739959717,17.51,0.925,0.5180995475113122,0.2073355209852536,0.20869956246961596,-93159.46328049725,-88279.12341222122,-93164.29807450046,-88281.3448636715,,,,4.500150680541992e-05,0.0001,,
10,23.610552072525024,2.574615478515625,17.54,0.955,0.5189479638009049,0.19594198136978885,0.19933141724585574,-93148.09340203958,-87929.91147608594,-93153.28051568603,-87934.0249965132,,,,0.0004500150680541992,0.0001,,
50,36.87640047073364,3.103018045425415,18.205,3.255,0.6377262443438914,0.1797298735825792,0.19199136291414282,-90829.72674141556,-84128.02087007335,-90702.38079289459,-83782.32070384307,2882.9609375,2484.4951171875,2525.001220703125,0.0022500157356262207,0.0001,,
100,50.56439471244812,12.927941799163818,38.105,42.26,0.5209276018099548,0.1313806643326546,0.14455175613341645,-164946.5638782548,-78667.78361031658,-83864.45391595496,-77837.54714129827,2489.058837890625,2570.7568359375,2699.51953125,0.004499971866607666,0.0001,,
500,76.09664630889893,9.193746089935303,42.795,47.62,0.5240384615384615,0.1318306504421164,0.13993381873528715,-158842.87512605375,-138627.42925096027,-88557.38728661482,-83460.78970736558,2162.01025390625,2151.617431640625,2136.726318359375,0.02249997854232788,0.0001,,
1000,91.43786263465881,7.571094751358032,42.565,47.99,0.6035067873303167,0.15565520452063764,0.1677443415709875,-150572.41559206284,-138753.95999989344,-89202.30583694958,-85995.54622012454,2022.4346923828125,1969.357666015625,1975.94287109375,0.04500001668930054,0.0001,,
2000,113.29631423950195,19.9260036945343,39.7,47.985,0.7253959276018099,0.22059439582357382,0.23438731463587592,-149229.3376178881,-138628.7414342307,-88196.53935696502,-84879.10407578043,2037.6888427734375,1797.1190185546875,1855.070068359375,0.09000003337860107,0.0001,75572.67557319788,-73657.32821972133
3000,147.38498401641846,7.4036784172058105,42.2,47.99,0.5828619909502263,0.15192597513996986,0.1637867272339169,-149688.06419659263,-138008.7320248868,-89209.81632668179,-85862.29056371961,1491.977783203125,1649.8822021484375,1629.7901611328125,0.13499999046325684,0.0001,,
4000,168.0945324897766,20.273204803466797,42.055,48.005,0.5820135746606334,0.18844886757242849,0.21477417275079766,-148965.522413845,-147667.95804551576,-87209.1613298072,-85199.82699644403,1689.4986572265625,1585.5211181640625,1605.39404296875,0.18000000715255737,0.0001,74954.51414176427,-73599.98849874217
5000,200.04899168014526,7.170224666595459,41.215,47.985,0.6136877828054298,0.16655338455142604,0.18062400034156764,-149427.7142090471,-134944.63291733494,-87564.27557282255,-84741.35103742797,1340.6829833984375,1546.484375,1531.96435546875,0.2250000238418579,0.0001,,
