iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
0,22.1232 ± 1.2675,15.8681 ± 1.4102,46.6900 ± 0.2431,0.7670 ± 0.2540,0.4924 ± 0.0059,0.0308 ± 0.0026,0.0334 ± 0.0006,-20779.5179 ± 227.5707,-20258.1716 ± 171.4546,-20787.9098 ± 227.7083,-20256.7667 ± 171.6990,705.3873 ± 37.0428,705.3873 ± 37.0428,705.3873 ± 37.0428,0.0000 ± 0.0000,0.0001 ± 0.0000,20573.5077 ± 221.8648,-20022.5420 ± 161.8370
1,33.6560 ± 1.0234,4.2812 ± 1.0229,46.7560 ± 0.2521,0.8340 ± 0.2788,0.4984 ± 0.0282,0.0306 ± 0.0068,0.0342 ± 0.0016,-20777.1221 ± 231.5688,-20216.9320 ± 294.6407,-20785.5395 ± 231.7356,-20219.5677 ± 293.2820,735.1912 ± 62.9052,720.2893 ± 28.7214,708.3677 ± 31.1186,0.0000 ± 0.0000,0.0001 ± 0.0000,,
10,42.6866 ± 2.2700,6.1339 ± 2.2672,49.4090 ± 1.9321,3.7760 ± 2.1604,0.4931 ± 0.0280,0.0317 ± 0.0037,0.0338 ± 0.0019,-20772.0168 ± 208.9188,-19655.4691 ± 144.1734,-20725.4759 ± 246.5037,-19220.5539 ± 580.2655,734.2234 ± 66.9786,743.1667 ± 7.9687,731.2910 ± 17.2927,0.0005 ± 0.0000,0.0001 ± 0.0000,,
50,56.0821 ± 1.4951,10.0273 ± 1.1807,88.2400 ± 9.5344,46.5690 ± 10.4245,0.4369 ± 0.0223,0.0291 ± 0.0021,0.0319 ± 0.0033,-25953.5881 ± 1572.6468,-18863.0903 ± 1099.9935,-20170.3153 ± 230.5913,-17615.1355 ± 403.3588,699.7975 ± 24.2505,735.6941 ± 13.2279,725.8031 ± 19.4487,0.0023 ± 0.0000,0.0001 ± 0.0000,,
100,64.8521 ± 1.6653,7.9922 ± 0.4583,87.5290 ± 4.6411,46.2990 ± 5.3305,0.4478 ± 0.0315,0.0355 ± 0.0095,0.0391 ± 0.0086,-27315.3271 ± 359.4229,-20307.5260 ± 1111.3123,-19923.2265 ± 310.2186,-17070.2596 ± 600.3899,699.5236 ± 63.6354,727.1865 ± 12.2629,707.7123 ± 12.5547,0.0045 ± 0.0000,0.0001 ± 0.0000,,
500,82.1411 ± 3.1387,10.2030 ± 3.3815,109.8720 ± 29.8602,70.9640 ± 33.3841,0.4616 ± 0.0368,0.0342 ± 0.0097,0.0361 ± 0.0091,-32734.4138 ± 5654.4225,-20810.2275 ± 230.1960,-18714.6610 ± 1067.2211,-15053.8251 ± 799.9119,571.7453 ± 38.4628,624.1964 ± 11.5977,595.7480 ± 18.0965,0.0225 ± 0.0000,0.0001 ± 0.0000,,
1000,111.0676 ± 4.1540,13.3115 ± 2.0288,136.7680 ± 24.7770,102.0780 ± 28.3498,0.5008 ± 0.0534,0.0379 ± 0.0111,0.0390 ± 0.0093,-40640.7483 ± 6709.1973,-20810.2322 ± 230.3099,-16918.0030 ± 1281.3990,-14060.2419 ± 889.3032,676.8764 ± 23.2845,481.5568 ± 12.0096,475.5569 ± 16.6779,0.0450 ± 0.0000,0.0001 ± 0.0000,,
2000,144.8561 ± 6.1186,43.0154 ± 7.0573,169.6780 ± 31.8579,137.5440 ± 34.4291,0.4638 ± 0.0475,0.0438 ± 0.0191,0.0376 ± 0.0079,-43096.2902 ± 7791.4336,-31215.1123 ± 9706.2001,-16559.5795 ± 1444.7942,-14830.9486 ± 842.6862,686.0819 ± 63.0716,288.0359 ± 12.5349,306.2265 ± 10.0019,0.0900 ± 0.0000,0.0001 ± 0.0000,13931.3095 ± 1865.5219,-12525.4942 ± 715.5080
3000,200.2078 ± 9.5279,13.5370 ± 5.9609,150.3660 ± 60.0163,115.4600 ± 66.0714,0.4623 ± 0.0367,0.0342 ± 0.0144,0.0366 ± 0.0063,-36297.5877 ± 9840.0185,-24236.8558 ± 7847.3911,-17846.7266 ± 1688.5530,-16246.1987 ± 2518.0604,686.7788 ± 72.6852,212.8738 ± 8.3370,249.7345 ± 10.2818,0.1350 ± 0.0000,0.0001 ± 0.0000,,
4000,230.5043 ± 9.9623,43.5458 ± 6.4970,183.6470 ± 30.6555,152.7910 ± 33.8833,0.4835 ± 0.0179,0.0356 ± 0.0060,0.0362 ± 0.0021,-39474.0136 ± 3949.3461,-28168.8524 ± 10097.1925,-17028.5467 ± 801.7116,-15670.8404 ± 612.4334,682.2101 ± 80.0038,174.4708 ± 5.3704,211.9735 ± 7.1833,0.1800 ± 0.0000,0.0001 ± 0.0000,14237.1620 ± 1255.4747,-12797.8668 ± 485.5031
5000,290.4835 ± 12.8357,16.4244 ± 0.8916,203.7110 ± 16.0912,175.3440 ± 16.1604,0.4733 ± 0.0211,0.0342 ± 0.0039,0.0347 ± 0.0023,-40861.3975 ± 1935.5638,-30727.8819 ± 10535.9844,-16740.6419 ± 307.3229,-15642.0705 ± 572.9958,719.1877 ± 61.6390,153.4272 ± 4.1458,201.9624 ± 5.4291,0.2250 ± 0.0000,0.0001 ± 0.0000,,
