iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
0,11.2699 ± 1.4071,15.7956 ± 1.4741,46.6160 ± 0.2308,0.6830 ± 0.2738,0.4947 ± 0.0180,0.0355 ± 0.0165,0.0341 ± 0.0019,-20780.6622 ± 233.8837,-20289.7068 ± 292.7038,-20789.1919 ± 234.2458,-20292.9378 ± 296.1825,,,,0.0000 ± 0.0000,0.0001 ± 0.0000,20575.3518 ± 228.8896,-20061.3863 ± 296.7913
1,21.5641 ± 1.5447,3.0635 ± 0.0464,46.6250 ± 0.2376,0.6930 ± 0.2884,0.4943 ± 0.0194,0.0348 ± 0.0174,0.0341 ± 0.0021,-20779.6073 ± 235.0342,-20289.7068 ± 292.7038,-20788.1118 ± 235.4381,-20292.8780 ± 296.2444,,,,0.0000 ± 0.0000,0.0001 ± 0.0000,,
10,28.4802 ± 0.4280,3.0829 ± 0.0326,46.6390 ± 0.2189,0.7130 ± 0.2676,0.5008 ± 0.0262,0.0333 ± 0.0116,0.0350 ± 0.0032,-20779.0607 ± 232.6504,-20249.4398 ± 279.5351,-20787.5191 ± 232.9681,-20251.2189 ± 283.2760,,,,0.0005 ± 0.0000,0.0001 ± 0.0000,,
50,59.3828 ± 0.8060,3.0796 ± 0.0241,46.4490 ± 0.1537,0.4980 ± 0.1848,0.4987 ± 0.0134,0.0352 ± 0.0123,0.0382 ± 0.0091,-20782.0305 ± 230.4850,-20376.0194 ± 218.2632,-20790.8932 ± 230.5652,-20380.7549 ± 221.4539,136.4664 ± 8.9183,126.9832 ± 5.2326,127.8056 ± 4.9189,0.0023 ± 0.0000,0.0001 ± 0.0000,,
100,74.8408 ± 3.1631,3.7820 ± 0.2798,50.8050 ± 1.8647,5.4380 ± 2.1585,0.5026 ± 0.0217,0.0367 ± 0.0042,0.0383 ± 0.0059,-20669.6605 ± 194.2196,-19421.1212 ± 516.5406,-20665.8530 ± 195.3928,-19364.0007 ± 554.4473,153.8138 ± 24.7867,142.5966 ± 7.8912,154.1905 ± 14.1357,0.0045 ± 0.0000,0.0001 ± 0.0000,,
500,96.9767 ± 1.8370,13.8574 ± 2.3290,138.9790 ± 18.2472,103.7470 ± 20.0816,0.5020 ± 0.0364,0.0364 ± 0.0057,0.0396 ± 0.0075,-29214.8751 ± 2062.5148,-19875.9320 ± 774.2997,-20024.9618 ± 403.0201,-18138.6326 ± 309.6222,136.8999 ± 20.0082,144.8497 ± 7.1059,138.6406 ± 8.9421,0.0225 ± 0.0000,0.0001 ± 0.0000,,
1000,121.1281 ± 2.9371,16.6296 ± 1.5823,157.8320 ± 9.6749,124.8060 ± 9.3879,0.4979 ± 0.0542,0.0370 ± 0.0073,0.0403 ± 0.0093,-29945.3010 ± 1639.8374,-20648.3709 ± 213.6083,-20019.9586 ± 418.8076,-18180.2443 ± 299.1621,120.4758 ± 17.0429,140.9568 ± 3.8932,134.4272 ± 3.5836,0.0450 ± 0.0000,0.0001 ± 0.0000,,
2000,153.1127 ± 3.1262,44.3471 ± 2.6113,175.1290 ± 8.6161,143.6670 ± 9.0194,0.4875 ± 0.0347,0.0347 ± 0.0042,0.0373 ± 0.0055,-30125.4641 ± 591.9758,-20797.0115 ± 231.6351,-19970.8477 ± 377.1235,-18397.6410 ± 220.6478,138.2866 ± 14.4732,139.0078 ± 4.1377,139.4514 ± 7.9156,0.0900 ± 0.0000,0.0001 ± 0.0000,17528.2786 ± 366.8147,-15545.9527 ± 300.1901
3000,212.6741 ± 3.6427,17.6137 ± 0.4928,184.1460 ± 2.2866,153.6260 ± 2.2766,0.4912 ± 0.0207,0.0365 ± 0.0033,0.0397 ± 0.0059,-29560.6748 ± 1718.5516,-21987.6751 ± 2856.2564,-20099.9815 ± 215.0739,-18590.5322 ± 158.7366,140.3612 ± 31.2213,141.1342 ± 4.6005,139.2873 ± 7.2110,0.1350 ± 0.0000,0.0001 ± 0.0000,,
4000,245.0944 ± 3.8046,46.0864 ± 2.0201,185.7600 ± 7.2622,155.3820 ± 7.8171,0.4842 ± 0.0244,0.0360 ± 0.0028,0.0397 ± 0.0049,-29976.3160 ± 1521.4241,-21036.3057 ± 2256.9118,-19936.0958 ± 187.1642,-18278.1635 ± 327.2531,131.0622 ± 16.0587,139.9060 ± 3.3257,139.6934 ± 7.4987,0.1800 ± 0.0000,0.0001 ± 0.0000,17541.2944 ± 213.7056,-15803.8245 ± 439.4380
