iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
0,34.5372 ± 1.3287,11.9326 ± 0.7122,46.5590 ± 0.1917,0.6220 ± 0.2173,0.5004 ± 0.0248,0.0351 ± 0.0093,0.0345 ± 0.0018,-20783.3559 ± 230.7817,-20311.7362 ± 169.7113,-20792.0219 ± 230.8373,-20317.6658 ± 168.4379,177.3330 ± 32.6911,177.3330 ± 32.6911,177.3330 ± 32.6911,0.0000 ± 0.0000,0.0001 ± 0.0000,20578.7850 ± 225.3877,-20095.2790 ± 162.0216
1,44.8936 ± 1.3405,3.1278 ± 0.0420,46.5930 ± 0.2401,0.6540 ± 0.2599,0.5027 ± 0.0339,0.0357 ± 0.0110,0.0352 ± 0.0032,-20781.9150 ± 230.4578,-20303.2356 ± 256.2362,-20790.6293 ± 230.4370,-20306.5319 ± 255.5634,211.6209 ± 24.7198,194.4769 ± 17.8323,180.7617 ± 28.8974,0.0000 ± 0.0000,0.0001 ± 0.0000,,
10,48.1017 ± 1.3690,3.0895 ± 0.0413,46.3690 ± 0.1148,0.4180 ± 0.1297,0.5056 ± 0.0112,0.0427 ± 0.0159,0.0342 ± 0.0011,-20784.9164 ± 230.9555,-20280.4615 ± 296.9094,-20794.0767 ± 231.0691,-20284.7287 ± 299.8933,194.5063 ± 26.7266,200.2615 ± 6.4676,192.6842 ± 11.4034,0.0005 ± 0.0000,0.0001 ± 0.0000,,
50,55.7218 ± 5.1103,3.2365 ± 0.0539,47.0010 ± 0.2162,1.0990 ± 0.2536,0.4925 ± 0.0289,0.0295 ± 0.0067,0.0339 ± 0.0018,-20772.4600 ± 242.3764,-20239.3914 ± 402.0061,-20780.6024 ± 242.7127,-20238.2215 ± 404.5205,192.2478 ± 42.8911,195.4585 ± 10.4613,191.9660 ± 18.6921,0.0023 ± 0.0000,0.0001 ± 0.0000,,
100,59.8729 ± 5.1311,3.4952 ± 0.1119,48.5860 ± 0.5862,2.9260 ± 0.6236,0.5184 ± 0.0399,0.0382 ± 0.0091,0.0374 ± 0.0044,-20733.9948 ± 236.3059,-19768.0383 ± 341.4435,-20739.6568 ± 236.5603,-19736.1912 ± 361.8208,156.6851 ± 29.0490,188.1909 ± 10.0562,175.4959 ± 13.1214,0.0045 ± 0.0000,0.0001 ± 0.0000,,
500,75.5453 ± 4.7388,9.3732 ± 2.3524,93.9260 ± 20.3912,53.4740 ± 22.6546,0.5068 ± 0.0492,0.0352 ± 0.0049,0.0382 ± 0.0055,-22282.1891 ± 2725.3814,-18827.5215 ± 614.2289,-20101.0233 ± 392.7621,-18056.1572 ± 259.2963,139.8556 ± 17.2863,145.7509 ± 4.3055,140.6180 ± 3.8946,0.0225 ± 0.0000,0.0001 ± 0.0000,,
1000,96.2442 ± 4.4465,13.0140 ± 3.0545,130.0700 ± 23.9499,93.2180 ± 26.4391,0.4890 ± 0.0436,0.0348 ± 0.0053,0.0383 ± 0.0073,-26435.1918 ± 3194.8792,-19104.1256 ± 889.9020,-19915.5585 ± 120.0039,-17945.5997 ± 251.1128,136.6228 ± 15.2982,141.8650 ± 0.8948,139.2379 ± 1.9428,0.0450 ± 0.0000,0.0001 ± 0.0000,,
2000,128.1459 ± 5.3759,41.4273 ± 3.0357,157.0900 ± 9.1907,122.8210 ± 10.4221,0.4691 ± 0.0385,0.0322 ± 0.0027,0.0346 ± 0.0034,-28838.8601 ± 1611.4242,-20499.8157 ± 255.5441,-20019.4564 ± 514.2283,-18523.1733 ± 657.7958,135.5786 ± 33.0498,139.9014 ± 4.7714,142.7576 ± 8.0223,0.0900 ± 0.0000,0.0001 ± 0.0000,18060.1389 ± 690.6791,-16032.4080 ± 623.0245
3000,183.8880 ± 9.4087,15.9500 ± 2.8045,162.9730 ± 24.7445,129.2010 ± 27.1544,0.4652 ± 0.0187,0.0322 ± 0.0029,0.0348 ± 0.0039,-27997.7307 ± 3719.9456,-20112.7847 ± 924.1852,-19898.4095 ± 447.8367,-18367.8594 ± 318.7968,131.4139 ± 26.6682,139.3451 ± 7.4493,139.3517 ± 9.3043,0.1350 ± 0.0000,0.0001 ± 0.0000,,
4000,214.4055 ± 12.5565,40.4397 ± 7.7890,156.4480 ± 34.8808,123.2700 ± 38.9013,0.5010 ± 0.0312,0.0416 ± 0.0102,0.0440 ± 0.0104,-27609.4975 ± 4948.9270,-19567.1745 ± 1168.3994,-19547.2272 ± 374.9300,-18013.4086 ± 348.9009,141.8664 ± 18.9339,137.5681 ± 6.9111,138.4934 ± 9.1954,0.1800 ± 0.0000,0.0001 ± 0.0000,17626.5203 ± 399.4426,-15754.5667 ± 538.6724
