iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
0,17.7569 ± 0.7417,8.7728 ± 0.9018,8.6220 ± 0.2529,1.0940 ± 0.4743,0.5730 ± 0.1381,0.1866 ± 0.0990,0.2006 ± 0.0760,-2907.4221 ± 43.2975,-2530.7481 ± 91.3418,-2907.8967 ± 43.4445,-2522.0817 ± 96.1713,374.1166 ± 43.2947,374.1166 ± 43.2947,374.1166 ± 43.2947,0.0000 ± 0.0000,0.0001 ± 0.0000,2881.7136 ± 41.8367,-2483.5828 ± 102.3013
1,21.6914 ± 0.7572,2.0081 ± 0.6650,8.7210 ± 0.2840,1.3730 ± 0.6014,0.6725 ± 0.1509,0.2413 ± 0.1177,0.2567 ± 0.1152,-2899.7579 ± 41.3213,-2489.8884 ± 41.7745,-2899.1468 ± 41.3213,-2448.0101 ± 70.1384,357.5051 ± 46.9380,365.8109 ± 43.4665,372.4555 ± 43.0522,0.0000 ± 0.0000,0.0001 ± 0.0000,,
10,27.6595 ± 1.7832,3.8791 ± 1.0048,12.1530 ± 1.9777,7.8210 ± 3.2231,0.6571 ± 0.0569,0.2429 ± 0.0832,0.2619 ± 0.0673,-2838.7657 ± 34.7471,-2356.0343 ± 20.2674,-2735.3060 ± 49.1131,-2307.3429 ± 17.4383,344.5639 ± 28.6008,347.0564 ± 28.8743,353.9834 ± 31.7006,0.0005 ± 0.0000,0.0001 ± 0.0000,,
50,34.6794 ± 0.4817,2.5749 ± 0.7030,21.9080 ± 1.0087,25.8750 ± 0.9383,0.6685 ± 0.0777,0.2747 ± 0.0590,0.2979 ± 0.0541,-3050.8060 ± 17.1095,-2396.2074 ± 100.0547,-2420.1224 ± 37.7863,-2310.4645 ± 28.1916,306.2878 ± 25.5964,314.6985 ± 22.1228,293.6364 ± 20.9136,0.0023 ± 0.0000,0.0001 ± 0.0000,,
100,37.3561 ± 0.4423,2.2686 ± 0.0450,22.4900 ± 0.5225,26.7740 ± 0.5872,0.6991 ± 0.0680,0.2967 ± 0.1082,0.3212 ± 0.1010,-3073.9130 ± 16.6075,-2843.7825 ± 251.0328,-2410.9737 ± 31.4009,-2370.0047 ± 40.7310,251.8851 ± 35.5170,285.4115 ± 17.4679,243.6428 ± 14.5272,0.0045 ± 0.0000,0.0001 ± 0.0000,,
500,53.1705 ± 0.6091,2.2701 ± 0.0240,23.8220 ± 0.8435,28.0000 ± 0.0000,0.5717 ± 0.0677,0.1516 ± 0.0463,0.1633 ± 0.0230,-3080.7294 ± 18.1728,-3080.7294 ± 18.1728,-2385.8724 ± 24.2488,-2385.8724 ± 24.2488,136.3994 ± 15.2391,150.0603 ± 6.3138,135.6425 ± 10.4251,0.0225 ± 0.0000,0.0001 ± 0.0000,,
1000,59.6113 ± 0.5713,2.2568 ± 0.0123,23.4300 ± 0.7589,28.0000 ± 0.0000,0.6143 ± 0.0785,0.2235 ± 0.0743,0.2224 ± 0.0834,-3080.7294 ± 18.1728,-3080.7294 ± 18.1728,-2385.8724 ± 24.2488,-2385.8724 ± 24.2488,228.2143 ± 9.2525,106.0051 ± 3.5882,112.4877 ± 2.4922,0.0450 ± 0.0000,0.0001 ± 0.0000,,
2000,69.7811 ± 0.6355,7.6893 ± 0.1323,22.7720 ± 1.4122,27.5650 ± 0.9671,0.6417 ± 0.1230,0.2844 ± 0.1052,0.2558 ± 0.1044,-3015.7954 ± 149.7969,-2921.6745 ± 256.6255,-2382.2566 ± 28.0890,-2372.1390 ± 40.1179,283.9366 ± 17.3096,80.4039 ± 1.7221,97.1798 ± 1.8107,0.0900 ± 0.0000,0.0001 ± 0.0000,2249.5147 ± 29.1847,-2247.7011 ± 30.5052
3000,85.2286 ± 0.7200,2.2133 ± 0.0772,22.0980 ± 1.8730,27.0270 ± 2.1673,0.6641 ± 0.0873,0.2819 ± 0.0812,0.2198 ± 0.0559,-2975.7534 ± 238.3299,-2899.6907 ± 302.4271,-2378.7169 ± 33.3687,-2370.5194 ± 44.4809,352.6521 ± 25.9708,61.7194 ± 2.5478,85.0586 ± 3.1212,0.1350 ± 0.0000,0.0001 ± 0.0000,,
4000,95.1634 ± 0.8856,7.3912 ± 0.3014,21.5090 ± 1.9695,25.3170 ± 2.5025,0.5964 ± 0.0695,0.2418 ± 0.0635,0.2056 ± 0.0591,-2755.1140 ± 232.6838,-2568.7445 ± 112.9972,-2366.5980 ± 32.9471,-2339.6914 ± 26.8540,356.6657 ± 16.2664,40.8199 ± 2.6954,68.8423 ± 3.2102,0.1800 ± 0.0000,0.0001 ± 0.0000,2244.4951 ± 29.2581,-2236.5660 ± 24.7082
