iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
0,7.6916 ± 1.3555,7.1883 ± 1.4130,8.5110 ± 0.2472,0.9130 ± 0.4737,0.5123 ± 0.1182,0.1551 ± 0.0808,0.1629 ± 0.0493,-2911.7739 ± 44.2807,-2558.0904 ± 122.8390,-2912.4176 ± 44.5007,-2551.7901 ± 130.6301,,,,0.0000 ± 0.0000,0.0001 ± 0.0000,2886.6420 ± 42.8537,-2513.7158 ± 136.7823
1,10.2137 ± 1.4911,0.7401 ± 0.0548,8.5260 ± 0.2424,0.9180 ± 0.4810,0.4984 ± 0.1230,0.1477 ± 0.0746,0.1432 ± 0.0366,-2911.8908 ± 43.2288,-2578.4329 ± 124.2106,-2912.5306 ± 43.4764,-2572.2514 ± 133.3680,,,,0.0000 ± 0.0000,0.0001 ± 0.0000,,
10,13.7451 ± 0.4523,0.7556 ± 0.0541,8.5170 ± 0.2317,0.9090 ± 0.4599,0.4953 ± 0.1342,0.1977 ± 0.1217,0.2135 ± 0.1158,-2913.1967 ± 44.5211,-2600.0079 ± 90.8213,-2913.8542 ± 44.7134,-2593.9277 ± 99.7488,,,,0.0005 ± 0.0000,0.0001 ± 0.0000,,
50,29.3168 ± 3.7675,1.2928 ± 0.1959,10.9920 ± 1.3028,5.7420 ± 2.4554,0.6357 ± 0.1156,0.1957 ± 0.0883,0.2209 ± 0.0889,-2774.5818 ± 50.9624,-2375.1327 ± 61.8402,-2752.2606 ± 74.3138,-2348.2467 ± 74.6741,115.7560 ± 14.0220,120.0959 ± 10.6646,120.2675 ± 10.7245,0.0023 ± 0.0000,0.0001 ± 0.0000,,
100,36.3178 ± 4.0989,3.5580 ± 0.5952,23.0720 ± 0.8314,26.2970 ± 0.8440,0.5723 ± 0.0712,0.1522 ± 0.0379,0.1804 ± 0.0478,-3062.7140 ± 14.4973,-2600.8088 ± 210.7204,-2416.9685 ± 35.5929,-2353.3304 ± 17.7614,117.0378 ± 7.9377,114.9270 ± 7.9255,110.5669 ± 4.3856,0.0045 ± 0.0000,0.0001 ± 0.0000,,
500,42.1289 ± 4.1465,2.3541 ± 0.1158,24.4630 ± 0.5201,28.0000 ± 0.0000,0.4980 ± 0.0801,0.1166 ± 0.0235,0.1354 ± 0.0265,-3080.7294 ± 18.1728,-3080.7294 ± 18.1728,-2385.8724 ± 24.2488,-2385.8724 ± 24.2488,97.0252 ± 10.4255,103.2552 ± 4.6748,102.1527 ± 6.4448,0.0225 ± 0.0000,0.0001 ± 0.0000,,
1000,48.4542 ± 4.0962,2.2676 ± 0.0388,24.3460 ± 0.8233,27.6810 ± 0.6325,0.5047 ± 0.0665,0.1511 ± 0.0468,0.1676 ± 0.0492,-3029.2836 ± 109.0383,-2802.1364 ± 300.9659,-2382.7144 ± 27.0954,-2361.7663 ± 36.9641,86.4025 ± 16.1707,92.1318 ± 6.1466,92.1368 ± 4.7222,0.0450 ± 0.0000,0.0001 ± 0.0000,,
2000,58.2017 ± 4.0803,7.4009 ± 0.3511,21.2300 ± 2.2508,25.1740 ± 2.5819,0.6201 ± 0.0657,0.2234 ± 0.0624,0.2285 ± 0.0582,-2778.4090 ± 239.5567,-2453.5405 ± 52.8537,-2359.9703 ± 36.6394,-2322.3080 ± 28.2850,75.3688 ± 14.4387,76.0995 ± 4.7290,72.5030 ± 5.6224,0.0900 ± 0.0000,0.0001 ± 0.0000,2245.1945 ± 28.1903,-2235.3507 ± 24.6063
3000,74.0719 ± 2.2064,2.1617 ± 0.0735,20.9620 ± 1.8022,25.1420 ± 1.9062,0.6286 ± 0.0639,0.2747 ± 0.0863,0.2292 ± 0.0890,-2727.0385 ± 171.5636,-2502.5416 ± 93.1174,-2358.1378 ± 30.9241,-2323.9593 ± 21.0774,56.3790 ± 13.9213,61.2514 ± 3.4564,57.3788 ± 4.6179,0.1350 ± 0.0000,0.0001 ± 0.0000,,
4000,83.6491 ± 2.2346,7.3064 ± 0.3003,20.9700 ± 1.3994,24.5590 ± 1.6539,0.5656 ± 0.0216,0.2113 ± 0.0821,0.1818 ± 0.0282,-2657.9553 ± 148.7550,-2529.1762 ± 88.9252,-2352.5916 ± 33.9641,-2329.5499 ± 30.8718,34.5167 ± 8.1464,40.8045 ± 2.9446,37.8008 ± 4.1978,0.1800 ± 0.0000,0.0001 ± 0.0000,2242.3712 ± 26.6104,-2236.0805 ± 24.1258
