iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
0,24.2268 ± 0.9547,4.2492 ± 0.1189,8.5770 ± 0.2080,1.0090 ± 0.3558,0.5536 ± 0.0839,0.1255 ± 0.0204,0.1464 ± 0.0205,-2910.3837 ± 39.6057,-2550.7921 ± 85.1169,-2910.9183 ± 39.6084,-2545.8764 ± 87.5598,123.9778 ± 10.2759,123.9778 ± 10.2759,123.9778 ± 10.2759,0.0000 ± 0.0000,0.0001 ± 0.0000,2884.8841 ± 38.0220,-2508.6881 ± 85.5917
1,26.8073 ± 0.9584,0.7997 ± 0.0654,8.6430 ± 0.3026,1.1410 ± 0.4574,0.5732 ± 0.0936,0.2084 ± 0.0864,0.2032 ± 0.0693,-2902.4591 ± 35.2362,-2484.3012 ± 83.5990,-2902.8379 ± 35.3575,-2477.0108 ± 87.1004,125.0066 ± 9.7718,124.4922 ± 8.8896,124.0807 ± 9.8406,0.0000 ± 0.0000,0.0001 ± 0.0000,,
10,28.8891 ± 2.2913,1.0148 ± 0.1024,9.5420 ± 0.5749,2.8190 ± 0.8766,0.6163 ± 0.0703,0.2059 ± 0.1095,0.2292 ± 0.0982,-2848.8126 ± 38.3621,-2390.4127 ± 52.9315,-2846.7851 ± 39.2006,-2379.3716 ± 53.8588,121.0052 ± 14.1170,121.4820 ± 9.8891,121.9456 ± 9.8726,0.0005 ± 0.0000,0.0001 ± 0.0000,,
50,33.6673 ± 3.0990,3.5267 ± 0.6665,21.3880 ± 1.4823,23.6760 ± 2.3884,0.6074 ± 0.0822,0.1914 ± 0.0879,0.2181 ± 0.0728,-3008.8014 ± 39.7407,-2407.1320 ± 76.1086,-2455.3643 ± 53.5585,-2325.3254 ± 26.3605,117.9052 ± 11.1377,115.7842 ± 5.9861,112.9719 ± 5.0403,0.0023 ± 0.0000,0.0001 ± 0.0000,,
100,36.3220 ± 3.1164,2.2754 ± 0.0437,23.9600 ± 0.4635,27.3940 ± 0.4413,0.5241 ± 0.0443,0.1394 ± 0.0412,0.1675 ± 0.0580,-3076.7164 ± 16.1089,-2838.7708 ± 265.8561,-2397.7534 ± 32.3100,-2377.5489 ± 27.9155,113.2844 ± 15.6904,112.9939 ± 5.8315,108.3972 ± 8.4039,0.0045 ± 0.0000,0.0001 ± 0.0000,,
500,43.0555 ± 2.5486,2.2484 ± 0.0256,24.4090 ± 0.5626,28.0000 ± 0.0000,0.5357 ± 0.0604,0.1234 ± 0.0165,0.1428 ± 0.0200,-3080.7294 ± 18.1728,-3080.7294 ± 18.1728,-2385.8724 ± 24.2488,-2385.8724 ± 24.2488,96.9796 ± 17.5484,103.4842 ± 4.7201,101.1410 ± 8.0541,0.0225 ± 0.0000,0.0001 ± 0.0000,,
1000,50.2162 ± 1.9484,2.2585 ± 0.0176,24.3120 ± 0.8350,27.7780 ± 0.4964,0.5337 ± 0.0956,0.1282 ± 0.0267,0.1479 ± 0.0326,-3053.1416 ± 61.2927,-2949.1172 ± 291.7730,-2383.7768 ± 24.1898,-2373.9788 ± 33.9771,173.1814 ± 29.9916,93.9834 ± 4.7890,98.4963 ± 1.6872,0.0450 ± 0.0000,0.0001 ± 0.0000,,
2000,60.4931 ± 1.8349,7.6339 ± 0.1438,23.4980 ± 0.4517,27.0710 ± 1.1154,0.5533 ± 0.0454,0.2138 ± 0.0609,0.1923 ± 0.0332,-2945.3575 ± 167.5803,-2708.9197 ± 261.6651,-2377.3198 ± 28.0453,-2351.4254 ± 41.9924,275.7312 ± 13.7014,74.6259 ± 3.0320,91.1928 ± 3.6776,0.0900 ± 0.0000,0.0001 ± 0.0000,2248.4953 ± 29.4239,-2242.1712 ± 30.1269
3000,75.4213 ± 1.7990,2.2161 ± 0.0541,22.4730 ± 1.2844,26.7100 ± 1.1975,0.6304 ± 0.1173,0.2693 ± 0.1392,0.2653 ± 0.1410,-2900.1295 ± 190.2297,-2509.3830 ± 95.9743,-2373.1681 ± 32.6470,-2331.5179 ± 31.3678,341.2796 ± 14.7009,60.1625 ± 3.1313,83.4973 ± 2.3087,0.1350 ± 0.0000,0.0001 ± 0.0000,,
4000,85.4714 ± 1.9189,7.5295 ± 0.3122,21.3680 ± 1.2086,25.7200 ± 1.5953,0.6496 ± 0.0885,0.2759 ± 0.1152,0.2914 ± 0.1159,-2780.3155 ± 168.5927,-2507.0408 ± 60.8287,-2362.6755 ± 37.7884,-2324.6325 ± 30.8844,359.6020 ± 19.6869,40.3116 ± 1.9517,68.2877 ± 2.9869,0.1800 ± 0.0000,0.0001 ± 0.0000,2244.5513 ± 30.1207,-2235.1666 ± 23.3240
