iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
0,19.8970 ± 1.2049,12.0004 ± 0.8653,25.8500 ± 0.3750,1.0810 ± 0.4419,0.5520 ± 0.0381,0.0683 ± 0.0148,0.0729 ± 0.0075,-17307.1074 ± 105.6878,-16632.0378 ± 359.3207,-17319.4496 ± 106.2111,-16651.0515 ± 360.5562,675.6060 ± 22.9370,675.6060 ± 22.9370,675.6060 ± 22.9370,0.0000 ± 0.0000,0.0001 ± 0.0000,17178.7466 ± 108.6084,-16435.3323 ± 369.5164
1,26.2236 ± 1.7076,2.1590 ± 0.7421,26.0090 ± 0.3989,1.2560 ± 0.4821,0.5183 ± 0.0261,0.0775 ± 0.0205,0.0704 ± 0.0064,-17307.5491 ± 97.5254,-16634.7750 ± 82.7945,-17320.0897 ± 97.7825,-16649.4530 ± 88.6678,685.6787 ± 43.1131,680.6423 ± 27.6971,676.6133 ± 22.5003,0.0000 ± 0.0000,0.0001 ± 0.0000,,
10,33.4372 ± 1.6634,5.3746 ± 1.0111,30.4110 ± 2.7878,6.9940 ± 3.8454,0.5821 ± 0.0632,0.1223 ± 0.0738,0.1192 ± 0.0632,-17582.3734 ± 506.0064,-15796.7907 ± 421.3889,-17293.4961 ± 146.0798,-15797.5150 ± 427.6537,691.5814 ± 71.1497,679.3451 ± 18.9531,679.6769 ± 15.6886,0.0005 ± 0.0000,0.0001 ± 0.0000,,
50,42.5526 ± 1.1939,7.5053 ± 0.8106,59.5460 ± 3.1188,52.5370 ± 4.0079,0.8017 ± 0.0190,0.2363 ± 0.0382,0.2505 ± 0.0376,-25796.4409 ± 1888.7255,-16645.9289 ± 2889.6965,-17930.7359 ± 321.0754,-15511.8366 ± 860.9881,640.9584 ± 60.8428,657.6818 ± 22.8279,648.0054 ± 24.7807,0.0023 ± 0.0000,0.0001 ± 0.0000,,
100,56.1229 ± 2.4032,7.1165 ± 0.3440,60.9550 ± 4.9283,58.9280 ± 3.8975,0.8252 ± 0.0456,0.2844 ± 0.0704,0.3028 ± 0.0720,-27831.9336 ± 556.9944,-18552.2173 ± 3061.6302,-17904.0466 ± 357.4114,-16144.3920 ± 443.2714,616.9484 ± 42.1916,645.5181 ± 18.9111,625.7638 ± 17.8657,0.0045 ± 0.0000,0.0001 ± 0.0000,,
500,72.5590 ± 2.1349,7.7040 ± 0.9348,65.8850 ± 4.7035,66.9700 ± 3.0989,0.8121 ± 0.0503,0.2569 ± 0.0874,0.2699 ± 0.0808,-29135.2975 ± 1219.6222,-23739.0239 ± 825.7375,-17849.4898 ± 447.5450,-15925.5582 ± 333.9596,432.8928 ± 22.3551,479.6945 ± 8.3335,446.6130 ± 10.4779,0.0225 ± 0.0000,0.0001 ± 0.0000,,
1000,86.6074 ± 2.6429,8.5464 ± 1.4069,70.8020 ± 5.8515,73.0860 ± 9.1380,0.7707 ± 0.0890,0.2246 ± 0.0488,0.2325 ± 0.0572,-29335.1413 ± 783.4550,-24920.7425 ± 441.4004,-18058.9179 ± 625.6912,-16450.7181 ± 952.9846,489.5647 ± 62.2209,353.4246 ± 7.2271,348.8801 ± 14.4861,0.0450 ± 0.0000,0.0001 ± 0.0000,,
2000,106.0395 ± 3.5898,23.6923 ± 0.8897,84.4300 ± 5.3786,82.9460 ± 6.5810,0.6713 ± 0.0379,0.1485 ± 0.0289,0.1458 ± 0.0251,-27840.3594 ± 496.1256,-24803.1900 ± 575.2907,-18298.8952 ± 365.1357,-17043.9583 ± 278.0742,500.0439 ± 28.1596,247.6753 ± 8.4539,265.2916 ± 10.4635,0.0900 ± 0.0000,0.0001 ± 0.0000,14122.8217 ± 263.2571,-13453.8793 ± 110.2713
3000,140.3036 ± 5.0236,7.9123 ± 0.4833,87.6640 ± 2.5383,85.8650 ± 3.5272,0.6721 ± 0.0442,0.1102 ± 0.0211,0.1178 ± 0.0238,-28011.3218 ± 964.1251,-24774.9685 ± 601.4032,-18511.5533 ± 86.4390,-17364.6686 ± 497.7975,548.2260 ± 66.8225,210.5072 ± 5.7412,237.6949 ± 8.1117,0.1350 ± 0.0000,0.0001 ± 0.0000,,
4000,159.4896 ± 5.7710,24.4225 ± 0.3397,90.8520 ± 1.8887,88.6120 ± 2.5326,0.6401 ± 0.0313,0.1069 ± 0.0263,0.1065 ± 0.0190,-27277.3856 ± 850.7282,-24967.5880 ± 1061.3524,-18908.8337 ± 280.7947,-18083.6727 ± 438.1965,550.1600 ± 32.8381,193.1007 ± 5.5649,223.0033 ± 9.7983,0.1800 ± 0.0000,0.0001 ± 0.0000,14218.7098 ± 354.7800,-13676.8099 ± 267.0359
