iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
0,9.7431 ± 1.5223,11.5123 ± 1.6480,25.7550 ± 0.3298,0.9340 ± 0.4210,0.4944 ± 0.0541,0.0648 ± 0.0186,0.0665 ± 0.0108,-17313.9917 ± 102.0272,-16580.6724 ± 298.2242,-17326.0549 ± 102.3913,-16600.8491 ± 293.2768,,,,0.0000 ± 0.0000,0.0001 ± 0.0000,17187.6259 ± 105.9791,-16377.3735 ± 318.5869
1,16.2862 ± 1.2627,2.1739 ± 0.7888,25.7510 ± 0.3173,0.9300 ± 0.4209,0.4932 ± 0.0614,0.0602 ± 0.0176,0.0661 ± 0.0118,-17313.2483 ± 99.6201,-16580.6724 ± 298.2242,-17325.3173 ± 99.9850,-16600.8491 ± 293.2768,,,,0.0000 ± 0.0000,0.0001 ± 0.0000,,
10,21.0236 ± 0.5040,1.7927 ± 0.0604,25.7450 ± 0.3154,0.9400 ± 0.4175,0.5202 ± 0.0547,0.0728 ± 0.0223,0.0739 ± 0.0159,-17314.2016 ± 96.7593,-16665.8682 ± 254.0841,-17326.3160 ± 97.0630,-16688.0043 ± 245.4915,,,,0.0005 ± 0.0000,0.0001 ± 0.0000,,
50,47.0117 ± 1.7565,2.3930 ± 0.2615,28.8190 ± 1.5658,4.9430 ± 2.0915,0.5463 ± 0.0288,0.0745 ± 0.0121,0.0802 ± 0.0127,-17115.7651 ± 42.1306,-15708.1113 ± 215.5218,-17120.2348 ± 48.8192,-15713.9122 ± 232.8314,203.2596 ± 33.2279,195.2444 ± 17.7250,195.8776 ± 18.0350,0.0023 ± 0.0000,0.0001 ± 0.0000,,
100,54.9734 ± 2.1483,7.1741 ± 1.4472,61.7740 ± 8.2426,47.4170 ± 10.9604,0.6034 ± 0.0290,0.0831 ± 0.0065,0.0916 ± 0.0101,-23580.4079 ± 1851.4942,-16113.8903 ± 807.5755,-18151.2190 ± 323.4834,-15828.5818 ± 454.2047,201.6036 ± 52.7853,207.0231 ± 20.6648,200.1903 ± 22.6527,0.0045 ± 0.0000,0.0001 ± 0.0000,,
500,68.9826 ± 1.0041,9.1770 ± 1.1703,77.8900 ± 5.6344,69.8940 ± 4.4846,0.6562 ± 0.0542,0.1182 ± 0.0444,0.1279 ± 0.0475,-26187.9925 ± 887.2808,-20305.9411 ± 2813.2906,-18999.0544 ± 558.1220,-17192.7418 ± 617.0915,190.2497 ± 44.5693,172.1273 ± 3.3258,173.8728 ± 12.3032,0.0225 ± 0.0000,0.0001 ± 0.0000,,
1000,83.5762 ± 1.6673,8.6448 ± 0.9789,78.3040 ± 4.0973,72.1560 ± 3.0285,0.6686 ± 0.0548,0.1524 ± 0.0689,0.1626 ± 0.0692,-26508.4736 ± 518.9431,-23278.7123 ± 1087.9464,-18975.1508 ± 263.3669,-17537.1307 ± 329.5936,184.5209 ± 39.8757,180.5195 ± 8.2497,178.8908 ± 6.9515,0.0450 ± 0.0000,0.0001 ± 0.0000,,
2000,104.1483 ± 1.6578,23.5146 ± 0.4771,81.4050 ± 4.7606,76.5760 ± 3.4036,0.6656 ± 0.0428,0.1594 ± 0.0809,0.1693 ± 0.0812,-26284.9888 ± 412.4942,-23440.8869 ± 885.8263,-19062.1828 ± 260.0620,-17724.6191 ± 369.1246,181.5872 ± 19.0919,189.6559 ± 4.4492,189.9340 ± 1.8373,0.0900 ± 0.0000,0.0001 ± 0.0000,14605.8012 ± 134.2400,-13720.4695 ± 258.3054
3000,138.4371 ± 1.5749,8.0018 ± 0.5106,81.9600 ± 6.4318,77.1970 ± 4.8485,0.6417 ± 0.0821,0.1460 ± 0.0601,0.1443 ± 0.0496,-26119.2944 ± 703.0503,-23610.9243 ± 1046.3591,-18828.1523 ± 156.3575,-17350.2809 ± 568.4225,190.4518 ± 35.6001,199.5721 ± 3.5319,203.3096 ± 3.6522,0.1350 ± 0.0000,0.0001 ± 0.0000,,
4000,158.1928 ± 1.4301,23.3193 ± 1.0461,84.2350 ± 6.7714,79.6480 ± 6.4472,0.6154 ± 0.0671,0.1732 ± 0.0697,0.1496 ± 0.0465,-26044.0920 ± 600.1869,-23851.7859 ± 556.8860,-19139.5980 ± 389.2930,-17994.2923 ± 493.0383,211.1386 ± 19.8876,204.6194 ± 9.1268,206.8734 ± 11.4070,0.1800 ± 0.0000,0.0001 ± 0.0000,14613.6155 ± 156.7050,-13895.8183 ± 295.4574
5000,192.5105 ± 1.9355,7.3878 ± 0.4663,85.3680 ± 8.1707,81.0900 ± 7.8106,0.6272 ± 0.0390,0.1884 ± 0.0441,0.1596 ± 0.0280,-26065.3634 ± 739.6302,-24426.2561 ± 582.0923,-18821.3171 ± 460.2834,-18126.2070 ± 496.2978,186.2940 ± 14.3467,207.9523 ± 11.5442,202.7327 ± 13.3574,0.2250 ± 0.0000,0.0001 ± 0.0000,,
6000,212.1202 ± 2.2254,23.5110 ± 0.5255,88.6170 ± 4.2321,86.5120 ± 5.0019,0.6088 ± 0.0280,0.2046 ± 0.0319,0.1657 ± 0.0195,-26240.6535 ± 380.2350,-23989.9191 ± 1306.9995,-19103.8428 ± 232.9080,-18155.2188 ± 480.9217,194.5205 ± 35.6806,200.1791 ± 16.0950,196.4028 ± 16.4893,0.2700 ± 0.0000,0.0001 ± 0.0000,14483.7118 ± 293.4634,-14045.3221 ± 203.2377
7000,246.5270 ± 2.7556,7.1775 ± 0.4775,85.8050 ± 3.8556,84.8080 ± 4.8191,0.6301 ± 0.0342,0.2268 ± 0.0240,0.1552 ± 0.0178,-25428.1638 ± 2369.9843,-22858.0015 ± 2386.5190,-18703.2655 ± 296.5047,-17860.1227 ± 301.5725,196.8095 ± 26.7008,192.8682 ± 15.8863,191.7576 ± 17.3606,0.3150 ± 0.0000,0.0001 ± 0.0000,,
8000,264.7297 ± 3.1761,21.2980 ± 2.2515,79.6780 ± 12.2339,75.1380 ± 14.9876,0.6002 ± 0.0455,0.2114 ± 0.0394,0.1280 ± 0.0192,-21207.5035 ± 4117.7596,-19976.7051 ± 4475.0288,-17773.6142 ± 1077.0982,-17162.8674 ± 1147.4627,178.7663 ± 19.8927,182.9159 ± 11.5268,181.9059 ± 13.9930,0.3600 ± 0.0000,0.0001 ± 0.0000,14237.7512 ± 254.8897,-13871.4307 ± 303.9277
9000,297.0967 ± 4.3802,6.2661 ± 0.2872,74.6270 ± 7.5833,71.2740 ± 7.0588,0.6236 ± 0.0392,0.2508 ± 0.0165,0.1573 ± 0.0305,-18472.2987 ± 1975.9249,-16707.9620 ± 845.0624,-17317.5570 ± 1006.2229,-16416.4883 ± 678.4089,170.1599 ± 20.9049,172.3370 ± 6.0219,165.5238 ± 8.4439,0.4050 ± 0.0000,0.0001 ± 0.0000,,
10000,314.8135 ± 4.3776,19.0632 ± 0.6196,65.5940 ± 3.6622,60.1430 ± 3.7693,0.6212 ± 0.0171,0.2367 ± 0.0287,0.1473 ± 0.0148,-16451.2856 ± 570.8517,-15920.1797 ± 466.4667,-16260.6085 ± 376.9285,-15823.0763 ± 374.6950,162.4288 ± 22.1108,166.8298 ± 4.8187,170.0529 ± 6.6246,0.4500 ± 0.0000,0.0001 ± 0.0000,13928.6901 ± 305.4102,-13676.3053 ± 310.7345
11000,345.0936 ± 4.5062,5.7833 ± 0.1014,65.2300 ± 3.0532,61.5110 ± 2.5662,0.6171 ± 0.0227,0.2496 ± 0.0517,0.1642 ± 0.0610,-15887.2131 ± 196.1016,-15474.9248 ± 276.7871,-15848.3609 ± 241.0395,-15489.7648 ± 306.1201,173.1164 ± 28.5363,159.4559 ± 3.9360,157.0646 ± 6.1337,0.4950 ± 0.0000,0.0001 ± 0.0000,,
12000,362.1048 ± 4.4589,18.6273 ± 0.1431,62.9820 ± 2.1741,58.5810 ± 2.7871,0.6267 ± 0.0250,0.2290 ± 0.0321,0.1382 ± 0.0218,-15536.0410 ± 456.9217,-15277.0145 ± 405.7949,-15570.2378 ± 530.6721,-15288.8296 ± 467.4396,166.2287 ± 9.2023,151.4205 ± 6.2275,155.4785 ± 6.1236,0.5400 ± 0.0000,0.0001 ± 0.0000,13741.4040 ± 477.3055,-13575.4312 ± 479.2154
13000,391.1665 ± 4.6096,5.5116 ± 0.0682,60.6000 ± 1.9223,56.4890 ± 2.0668,0.6195 ± 0.0265,0.2304 ± 0.0315,0.1333 ± 0.0203,-15286.4757 ± 311.3606,-15020.7157 ± 302.9760,-15319.7506 ± 346.7552,-15045.5975 ± 336.3827,134.1257 ± 22.7557,144.5905 ± 3.8838,145.2499 ± 7.0397,0.5850 ± 0.0000,0.0001 ± 0.0000,,
