iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
0,27.6505 ± 1.5087,7.3405 ± 0.7937,25.8720 ± 0.3901,1.0900 ± 0.5088,0.5060 ± 0.0250,0.0597 ± 0.0054,0.0649 ± 0.0033,-17308.9032 ± 98.0717,-16589.6558 ± 245.9665,-17321.1667 ± 98.7994,-16606.5841 ± 243.9829,266.6242 ± 32.1298,266.6242 ± 32.1298,266.6242 ± 32.1298,0.0000 ± 0.0000,0.0001 ± 0.0000,17181.5096 ± 101.4520,-16411.4548 ± 261.4432
1,33.6024 ± 1.5264,1.8525 ± 0.0727,25.9400 ± 0.4005,1.1830 ± 0.5290,0.5202 ± 0.0583,0.0744 ± 0.0229,0.0692 ± 0.0114,-17306.8731 ± 97.2892,-16558.5641 ± 130.7781,-17319.0717 ± 98.0984,-16578.3114 ± 135.7770,302.7165 ± 69.0646,284.6704 ± 36.1917,270.2334 ± 28.8656,0.0000 ± 0.0000,0.0001 ± 0.0000,,
10,35.6992 ± 1.5140,2.0151 ± 0.1352,26.7960 ± 0.8223,2.2410 ± 1.1311,0.4935 ± 0.0706,0.0685 ± 0.0141,0.0716 ± 0.0155,-17256.3972 ± 80.1967,-16346.2041 ± 276.8367,-17270.4574 ± 80.4940,-16366.2107 ± 273.8010,247.0630 ± 41.0982,270.2424 ± 22.0351,267.2709 ± 18.0931,0.0005 ± 0.0000,0.0001 ± 0.0000,,
50,41.0225 ± 1.5416,4.9661 ± 1.9070,45.8750 ± 9.9535,27.2500 ± 13.6549,0.6033 ± 0.1074,0.1047 ± 0.0683,0.1116 ± 0.0669,-19276.2710 ± 2848.7262,-15131.5922 ± 305.9026,-17509.8645 ± 561.8632,-15184.2267 ± 296.5274,254.9627 ± 40.3163,260.1957 ± 17.4796,247.7630 ± 17.4954,0.0023 ± 0.0000,0.0001 ± 0.0000,,
100,49.5508 ± 1.1661,8.0296 ± 1.3821,69.0490 ± 5.5920,57.0930 ± 6.6070,0.6524 ± 0.0518,0.0939 ± 0.0142,0.1020 ± 0.0166,-24162.4528 ± 939.5511,-16746.5817 ± 764.9311,-18816.9428 ± 311.6768,-16727.6726 ± 688.8534,219.4594 ± 61.7961,244.2120 ± 15.1141,224.8190 ± 23.0769,0.0045 ± 0.0000,0.0001 ± 0.0000,,
500,63.5838 ± 1.5179,9.4064 ± 0.9084,79.6040 ± 3.0177,72.3560 ± 2.1878,0.6677 ± 0.0475,0.1423 ± 0.0665,0.1528 ± 0.0702,-26208.2082 ± 492.2279,-19388.6311 ± 2818.5605,-18965.0104 ± 275.1797,-17304.3306 ± 205.9756,151.2293 ± 33.2809,177.8376 ± 6.3524,172.8451 ± 13.8857,0.0225 ± 0.0000,0.0001 ± 0.0000,,
1000,78.1086 ± 1.4934,8.6880 ± 0.2057,80.8580 ± 2.7830,74.9340 ± 2.4173,0.6696 ± 0.0411,0.1342 ± 0.0582,0.1393 ± 0.0558,-26400.3810 ± 353.4262,-23458.4121 ± 564.2615,-18834.9548 ± 346.3532,-17350.8431 ± 197.3045,202.1720 ± 33.2287,179.9390 ± 3.8430,181.7097 ± 9.5049,0.0450 ± 0.0000,0.0001 ± 0.0000,,
2000,98.1047 ± 1.6206,23.6696 ± 0.4344,83.4770 ± 5.4321,78.5800 ± 5.4573,0.6521 ± 0.0421,0.1449 ± 0.0397,0.1567 ± 0.0424,-26392.7932 ± 696.2086,-23547.9307 ± 511.9749,-19002.4845 ± 252.8924,-17883.7544 ± 288.7778,232.4095 ± 37.8242,190.1610 ± 1.3541,196.7027 ± 8.4261,0.0900 ± 0.0000,0.0001 ± 0.0000,14535.9854 ± 193.6285,-13874.6460 ± 282.3079
3000,132.9463 ± 1.5375,8.0936 ± 0.1541,85.7490 ± 4.3777,80.3150 ± 4.9047,0.6169 ± 0.0400,0.1319 ± 0.0371,0.1332 ± 0.0291,-26654.1967 ± 893.7577,-23931.1293 ± 328.5952,-19017.9427 ± 402.8243,-17644.5107 ± 409.3408,277.0769 ± 11.1508,200.0102 ± 4.0290,202.6814 ± 8.8008,0.1350 ± 0.0000,0.0001 ± 0.0000,,
4000,152.2537 ± 1.2551,23.1324 ± 0.7945,84.6310 ± 3.6736,81.2480 ± 3.1252,0.5984 ± 0.0626,0.1937 ± 0.0114,0.1600 ± 0.0111,-26464.6869 ± 475.9853,-24421.8032 ± 279.6444,-18890.9326 ± 366.8677,-17859.7769 ± 516.5790,251.5393 ± 13.5548,209.5099 ± 2.9104,213.4624 ± 4.7735,0.1800 ± 0.0000,0.0001 ± 0.0000,14498.2963 ± 218.2537,-13959.2395 ± 177.7424
