iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
0,23.6029 ± 1.0671,21.6296 ± 1.4073,66.6100 ± 0.1882,0.6630 ± 0.2112,0.5129 ± 0.0201,0.0264 ± 0.0097,0.0225 ± 0.0018,-70243.9830 ± 110.7748,-69296.2366 ± 443.7651,-70304.9551 ± 110.6462,-69280.6738 ± 532.6764,1121.9396 ± 54.1770,1121.9396 ± 54.1770,1121.9396 ± 54.1770,0.0000 ± 0.0000,0.0001 ± 0.0000,69749.4817 ± 113.8708,-68630.8744 ± 440.8925
1,43.6935 ± 2.9471,5.2872 ± 0.7766,66.6500 ± 0.1916,0.7040 ± 0.1949,0.5040 ± 0.0097,0.0224 ± 0.0054,0.0214 ± 0.0006,-70235.3261 ± 113.3448,-68858.5783 ± 570.1426,-70295.8944 ± 112.9724,-68716.0809 ± 710.2274,1176.4817 ± 130.0826,1149.2106 ± 74.3370,1127.3937 ± 52.4304,0.0000 ± 0.0000,0.0001 ± 0.0000,,
10,59.0881 ± 0.9200,7.2470 ± 2.3988,67.5030 ± 0.6347,1.5980 ± 0.7050,0.4998 ± 0.0120,0.0194 ± 0.0020,0.0212 ± 0.0005,-70263.5095 ± 109.1759,-68884.1733 ± 883.7220,-70330.9784 ± 109.2526,-68869.2868 ± 894.3824,1177.9910 ± 61.0656,1169.0317 ± 61.2322,1155.7299 ± 50.7164,0.0005 ± 0.0000,0.0001 ± 0.0000,,
50,71.5708 ± 3.0086,8.6224 ± 1.8415,72.3750 ± 2.2919,7.1360 ± 2.6004,0.5979 ± 0.0304,0.0509 ± 0.0103,0.0438 ± 0.0114,-70933.0648 ± 437.3142,-70165.6750 ± 249.9107,-70763.0920 ± 302.3528,-70221.2369 ± 254.2095,1194.3947 ± 119.4471,1166.5695 ± 41.6609,1159.3832 ± 39.9915,0.0023 ± 0.0000,0.0001 ± 0.0000,,
100,82.6689 ± 2.5245,9.1032 ± 1.9472,88.0950 ± 16.6174,26.6050 ± 19.3814,0.7099 ± 0.0168,0.1784 ± 0.0403,0.1712 ± 0.0434,-74740.3337 ± 3459.9641,-70251.5920 ± 115.3698,-72297.9002 ± 1739.7866,-69015.0340 ± 1278.8336,1167.0184 ± 135.6486,1161.6769 ± 40.6774,1157.9064 ± 17.8248,0.0045 ± 0.0000,0.0001 ± 0.0000,,
500,105.7871 ± 2.1588,15.5792 ± 1.1271,111.6990 ± 14.7325,94.8380 ± 11.2513,0.8972 ± 0.0180,0.4628 ± 0.0753,0.4630 ± 0.0742,-134355.7818 ± 7508.7706,-92502.3773 ± 4372.5769,-66719.8929 ± 2976.6697,-58325.6420 ± 1957.1087,1065.0207 ± 135.5208,1064.0257 ± 31.7512,1034.7886 ± 47.0985,0.0225 ± 0.0000,0.0001 ± 0.0000,,
1000,130.0492 ± 1.7865,14.8526 ± 1.3982,101.7180 ± 15.3754,85.0130 ± 14.2029,0.8472 ± 0.0290,0.4288 ± 0.0873,0.4278 ± 0.0867,-148301.0413 ± 11676.2875,-98630.0781 ± 3702.6153,-64719.4282 ± 3096.2201,-58032.9270 ± 2156.7233,1090.3371 ± 91.3684,879.9776 ± 34.4647,871.9290 ± 54.9237,0.0450 ± 0.0000,0.0001 ± 0.0000,,
2000,167.9776 ± 4.9463,51.7720 ± 7.6473,147.4090 ± 26.9310,121.3860 ± 29.2232,0.7420 ± 0.0421,0.2869 ± 0.0624,0.2848 ± 0.0630,-121422.5362 ± 12254.5589,-94432.5114 ± 3119.4682,-76155.8457 ± 5797.6033,-62531.4475 ± 2987.6051,1159.4196 ± 107.9121,602.4014 ± 31.0434,630.6209 ± 25.7697,0.0900 ± 0.0000,0.0001 ± 0.0000,58874.6846 ± 997.7319,-55452.0305 ± 988.2115
3000,235.6620 ± 12.2717,16.2615 ± 4.3441,138.1570 ± 36.2780,104.4530 ± 40.8897,0.7274 ± 0.0439,0.1940 ± 0.0828,0.1865 ± 0.0883,-115945.7944 ± 11848.8815,-93321.9586 ± 1338.8184,-75245.9795 ± 8899.9497,-66804.3488 ± 6714.5063,1179.0072 ± 129.5684,467.8742 ± 20.6663,516.8017 ± 34.4776,0.1350 ± 0.0000,0.0001 ± 0.0000,,
4000,270.1227 ± 12.1651,47.2590 ± 2.5093,138.8150 ± 8.7639,108.4010 ± 11.9805,0.7119 ± 0.0320,0.1841 ± 0.0635,0.1752 ± 0.0591,-108518.2442 ± 6659.6395,-92895.7891 ± 803.6956,-75876.3338 ± 4830.5943,-65559.7163 ± 2909.6245,1126.9425 ± 148.6794,417.3440 ± 15.3636,469.1551 ± 38.6793,0.1800 ± 0.0000,0.0001 ± 0.0000,58944.6540 ± 1099.8158,-55883.6454 ± 747.2568
5000,338.5705 ± 13.0305,17.6134 ± 3.5062,151.6940 ± 20.8070,123.6910 ± 27.4234,0.7013 ± 0.0439,0.2016 ± 0.0734,0.1912 ± 0.0781,-117400.3824 ± 15558.2482,-94347.9778 ± 4783.2856,-75451.0380 ± 6743.0890,-66020.8380 ± 4851.1392,1182.1693 ± 85.0737,384.9894 ± 12.9188,448.0459 ± 22.0925,0.2250 ± 0.0000,0.0001 ± 0.0000,,
6000,377.6277 ± 13.2264,55.8801 ± 8.1362,177.7370 ± 34.8380,147.5170 ± 36.2614,0.6812 ± 0.0371,0.1778 ± 0.0989,0.1706 ± 0.0973,-115503.2323 ± 9476.7672,-90834.3332 ± 15562.3952,-77470.7732 ± 4796.1583,-66551.9957 ± 5074.7069,1248.0244 ± 120.3667,363.1915 ± 13.1320,437.7988 ± 17.3246,0.2700 ± 0.0000,0.0001 ± 0.0000,58300.9043 ± 1307.5878,-56332.1435 ± 1361.3438
7000,451.6780 ± 18.3969,19.6104 ± 3.6150,185.5520 ± 38.2599,152.6690 ± 37.6095,0.6689 ± 0.0344,0.1406 ± 0.0700,0.1309 ± 0.0757,-116716.6412 ± 15116.6397,-96102.3069 ± 3871.4651,-77725.3355 ± 7004.0951,-66913.9981 ± 5719.8008,1235.6765 ± 91.2177,343.1329 ± 14.0167,417.9858 ± 13.9340,0.3150 ± 0.0000,0.0001 ± 0.0000,,
8000,491.1144 ± 20.1753,59.3302 ± 5.8300,205.6420 ± 29.6880,175.2390 ± 29.2693,0.6458 ± 0.0116,0.1420 ± 0.0628,0.1256 ± 0.0561,-111180.7967 ± 4718.0674,-94833.6321 ± 1356.8350,-79557.4236 ± 4840.4147,-67197.7445 ± 3809.2887,1091.1597 ± 155.2044,335.6424 ± 14.2530,402.6632 ± 9.2778,0.3600 ± 0.0000,0.0001 ± 0.0000,58995.0203 ± 1304.1852,-56832.1566 ± 1164.3602
9000,567.3159 ± 27.2217,18.8330 ± 4.6345,188.9650 ± 47.2745,154.4440 ± 49.6718,0.6401 ± 0.0251,0.1299 ± 0.0711,0.1103 ± 0.0731,-121004.9277 ± 10016.4746,-98730.0344 ± 2101.5165,-76459.1640 ± 7163.4003,-66599.7003 ± 3671.9002,1027.6359 ± 125.3660,327.2653 ± 11.1422,385.3940 ± 16.6765,0.4050 ± 0.0000,0.0001 ± 0.0000,,
10000,607.1558 ± 30.4639,58.4786 ± 10.5510,206.8420 ± 45.5103,175.1030 ± 50.1190,0.6289 ± 0.0376,0.1222 ± 0.0343,0.0994 ± 0.0350,-116095.0344 ± 11634.1524,-99042.4990 ± 3187.8991,-78504.3171 ± 8241.0822,-69858.4856 ± 6427.9915,948.2685 ± 98.5439,322.9252 ± 12.3635,386.1433 ± 25.9157,0.4500 ± 0.0000,0.0001 ± 0.0000,58525.2763 ± 1324.3229,-56389.8456 ± 1020.3642
11000,685.3890 ± 38.2772,21.2282 ± 2.4117,224.8410 ± 12.7996,197.4530 ± 16.7844,0.6166 ± 0.0315,0.1606 ± 0.0617,0.1165 ± 0.0620,-105840.0337 ± 4895.0704,-96820.6238 ± 1584.6454,-83656.2830 ± 2516.1238,-72096.9347 ± 4174.6114,877.3586 ± 27.2920,312.8119 ± 7.0921,350.1516 ± 26.0621,0.4950 ± 0.0000,0.0001 ± 0.0000,,
12000,724.7635 ± 39.9151,61.9286 ± 3.0418,228.8170 ± 11.3699,200.1970 ± 14.0016,0.6411 ± 0.0231,0.1598 ± 0.0797,0.1283 ± 0.0885,-105174.6417 ± 4545.8159,-95562.3000 ± 613.8062,-81490.5061 ± 3368.8506,-71184.0687 ± 3485.9469,800.0886 ± 50.3626,303.7578 ± 12.3406,342.4299 ± 20.2173,0.5400 ± 0.0000,0.0001 ± 0.0000,59375.3486 ± 238.2702,-57197.3902 ± 827.3876
13000,805.7955 ± 41.6645,21.0707 ± 1.7087,244.6870 ± 5.4963,216.8350 ± 15.0910,0.6324 ± 0.0369,0.1500 ± 0.0650,0.1002 ± 0.0703,-103285.4668 ± 3557.4372,-95953.6810 ± 867.7254,-84735.5885 ± 5556.9418,-73621.1137 ± 4311.8223,650.3049 ± 75.6136,292.8183 ± 11.7209,323.4164 ± 27.1461,0.5850 ± 0.0000,0.0001 ± 0.0000,,
14000,845.0919 ± 42.6830,63.5274 ± 2.8104,248.5660 ± 13.3463,217.7480 ± 12.5543,0.6112 ± 0.0437,0.1323 ± 0.0691,0.0864 ± 0.0915,-109574.8692 ± 15674.7349,-91650.1837 ± 7881.0479,-82801.4900 ± 4130.3990,-72176.7385 ± 3567.4464,592.2681 ± 72.9817,289.9575 ± 11.5314,325.1353 ± 18.9474,0.6300 ± 0.0000,0.0001 ± 0.0000,58957.5543 ± 383.3477,-57273.1380 ± 598.0402
15000,934.8699 ± 39.7017,19.5076 ± 1.5362,250.7840 ± 17.2540,221.6010 ± 24.0163,0.6197 ± 0.0337,0.1293 ± 0.0754,0.0683 ± 0.0502,-103075.9967 ± 6568.7062,-90664.3026 ± 11667.9666,-84636.5393 ± 7791.4955,-79756.1484 ± 7688.2668,449.9384 ± 71.0854,284.8620 ± 9.5898,297.5647 ± 4.2874,0.6750 ± 0.0000,0.0001 ± 0.0000,,
16000,974.9507 ± 44.5972,57.8335 ± 5.8141,221.2760 ± 31.4239,189.9790 ± 34.8036,0.6201 ± 0.0169,0.1366 ± 0.0506,0.0624 ± 0.0254,-100370.2280 ± 28448.5157,-85067.9725 ± 14757.9103,-75993.8076 ± 8686.0824,-71828.5155 ± 7064.1966,432.7725 ± 56.0377,277.9825 ± 10.1915,286.1746 ± 14.8534,0.7200 ± 0.0000,0.0001 ± 0.0000,59260.9093 ± 707.3093,-57683.5768 ± 716.9112
17000,1051.0398 ± 48.8839,17.2219 ± 1.6795,216.4030 ± 30.7024,184.6180 ± 30.7160,0.6317 ± 0.0211,0.1259 ± 0.0486,0.0525 ± 0.0177,-87175.0160 ± 16753.4130,-75002.0126 ± 9439.0418,-73717.2551 ± 7487.3092,-69831.8549 ± 4517.2245,411.3439 ± 117.0254,270.3514 ± 3.5644,284.5301 ± 16.2037,0.7650 ± 0.0000,0.0001 ± 0.0000,,
18000,1086.2240 ± 48.7417,53.8452 ± 4.7445,195.9020 ± 36.8414,167.4190 ± 27.9895,0.6162 ± 0.0370,0.1625 ± 0.0621,0.0696 ± 0.0267,-88444.7768 ± 25049.8509,-74873.0401 ± 12862.9736,-70213.7663 ± 4986.9127,-67043.9199 ± 2876.0588,379.8678 ± 48.8478,258.8960 ± 7.1375,268.6866 ± 12.2436,0.8100 ± 0.0000,0.0001 ± 0.0000,58546.3568 ± 738.0693,-57827.2121 ± 391.5003
19000,1158.3084 ± 48.7575,16.0243 ± 1.2027,195.4360 ± 33.3701,167.4770 ± 25.2522,0.6112 ± 0.0500,0.1700 ± 0.0510,0.0632 ± 0.0259,-76750.3078 ± 16996.7602,-70584.7485 ± 6760.4199,-69464.7718 ± 3591.1601,-68285.1407 ± 3149.6618,293.6276 ± 48.3214,251.6226 ± 14.1482,255.5738 ± 10.5119,0.8550 ± 0.0000,0.0001 ± 0.0000,,
20000,1193.0906 ± 49.5592,51.4741 ± 2.4402,184.5780 ± 24.2744,152.9140 ± 14.3994,0.6218 ± 0.0158,0.1551 ± 0.0573,0.0632 ± 0.0249,-78361.6951 ± 18880.8696,-68981.5643 ± 5962.8729,-67413.4691 ± 2218.5359,-65976.0768 ± 2338.4374,400.2073 ± 86.1437,237.9233 ± 15.5818,252.2920 ± 22.1269,0.9000 ± 0.0000,0.0001 ± 0.0000,58291.1600 ± 589.3689,-57585.1982 ± 355.5852
21000,1262.6839 ± 51.2448,15.0071 ± 0.7375,170.0390 ± 24.9789,144.3860 ± 14.4764,0.6209 ± 0.0402,0.1755 ± 0.0697,0.0710 ± 0.0266,-86697.7724 ± 24612.5320,-73492.2988 ± 13575.8920,-66426.8442 ± 2215.5790,-65436.7494 ± 2038.4820,379.4480 ± 58.4685,231.4565 ± 20.4938,247.3214 ± 32.9074,0.9000 ± 0.0000,0.0001 ± 0.0000,,
22000,1296.2249 ± 51.6364,50.9434 ± 2.2695,175.7590 ± 20.2332,149.8890 ± 14.6817,0.6145 ± 0.0537,0.1776 ± 0.0658,0.0631 ± 0.0252,-80136.7374 ± 31100.8129,-65863.4364 ± 2032.4700,-66949.1770 ± 1550.3506,-65665.5527 ± 1334.0356,305.2544 ± 68.9923,225.3412 ± 18.5099,225.3366 ± 17.9509,0.9000 ± 0.0000,0.0001 ± 0.0000,57722.9688 ± 436.4263,-57408.2388 ± 422.3725
23000,1364.8824 ± 52.8660,15.0188 ± 1.0298,171.4160 ± 29.9475,146.2860 ± 21.0624,0.6162 ± 0.0521,0.1857 ± 0.0726,0.0707 ± 0.0328,-65719.4423 ± 2111.6549,-64593.7281 ± 1753.2229,-66027.7488 ± 2420.2283,-64758.7881 ± 1984.4833,350.1724 ± 84.5227,210.8574 ± 19.9058,222.8292 ± 31.4901,0.9000 ± 0.0000,0.0001 ± 0.0000,,
24000,1397.3834 ± 53.1607,48.5001 ± 2.3381,160.8470 ± 23.1568,134.3420 ± 12.9136,0.6150 ± 0.0498,0.2013 ± 0.0746,0.0929 ± 0.0419,-94888.2995 ± 68791.2503,-78130.2356 ± 32538.1747,-64865.8132 ± 1892.3145,-64197.3410 ± 1757.0730,281.4719 ± 53.2099,207.4064 ± 22.5200,219.0132 ± 34.2685,0.9000 ± 0.0000,0.0001 ± 0.0000,57771.5944 ± 556.8516,-57356.7028 ± 586.6487
