iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
0,12.3153 ± 1.0359,20.8991 ± 1.2326,66.5810 ± 0.2422,0.6210 ± 0.2425,0.4987 ± 0.0177,0.0255 ± 0.0127,0.0216 ± 0.0015,-70243.2974 ± 112.7638,-69343.7159 ± 749.4344,-70303.8705 ± 113.3830,-69299.9098 ± 892.5028,,,,0.0000 ± 0.0000,0.0001 ± 0.0000,69750.3512 ± 115.7770,-68714.8598 ± 896.8360
1,28.4552 ± 1.2674,4.9008 ± 0.0689,66.5830 ± 0.2515,0.6310 ± 0.2517,0.5030 ± 0.0179,0.0297 ± 0.0181,0.0232 ± 0.0038,-70242.9767 ± 112.7292,-69343.7159 ± 749.4344,-70303.6039 ± 113.3675,-69299.9098 ± 892.5028,,,,0.0000 ± 0.0000,0.0001 ± 0.0000,,
10,36.0859 ± 1.1491,4.8552 ± 0.0550,66.6060 ± 0.2569,0.6440 ± 0.2540,0.4994 ± 0.0203,0.0278 ± 0.0150,0.0217 ± 0.0012,-70244.9888 ± 113.6467,-69628.6536 ± 401.6793,-70305.9848 ± 114.1205,-69674.4453 ± 446.0576,,,,0.0005 ± 0.0000,0.0001 ± 0.0000,,
50,56.3742 ± 1.1037,4.7721 ± 0.0429,66.1340 ± 0.0815,0.1400 ± 0.0842,0.4985 ± 0.0046,0.0199 ± 0.0128,0.0211 ± 0.0001,-70244.9608 ± 114.0390,-69819.3410 ± 555.5522,-70302.7120 ± 114.0298,-69845.0497 ± 623.0842,143.6596 ± 32.1479,131.0085 ± 28.7794,129.9848 ± 28.2774,0.0023 ± 0.0000,0.0001 ± 0.0000,,
100,70.2364 ± 6.1415,4.7419 ± 0.0267,66.0210 ± 0.0143,0.0210 ± 0.0143,0.4994 ± 0.0003,0.0105 ± 0.0000,0.0210 ± 0.0000,-70244.5228 ± 113.6433,-70144.9215 ± 242.0853,-70301.4337 ± 113.8423,-70196.9637 ± 253.7599,121.9587 ± 37.7919,131.3466 ± 30.0285,132.6789 ± 33.9910,0.0045 ± 0.0000,0.0001 ± 0.0000,,
500,87.6996 ± 2.2107,5.0680 ± 0.1880,67.7530 ± 1.2480,1.8300 ± 1.3165,0.5016 ± 0.0070,0.0202 ± 0.0069,0.0215 ± 0.0003,-70233.9158 ± 121.3835,-69559.9877 ± 480.3020,-70294.0351 ± 122.1025,-69626.8553 ± 482.7645,94.4543 ± 35.3307,105.0962 ± 12.4747,103.0364 ± 14.7894,0.0225 ± 0.0000,0.0001 ± 0.0000,,
1000,102.5821 ± 2.9060,5.1408 ± 0.2046,68.1480 ± 1.3652,2.2240 ± 1.4290,0.4950 ± 0.0074,0.0166 ± 0.0058,0.0212 ± 0.0004,-70242.5075 ± 113.2616,-69747.8999 ± 211.5630,-70302.7402 ± 115.1664,-69841.2874 ± 212.8319,95.0405 ± 13.4119,105.2162 ± 10.4177,107.6579 ± 9.6059,0.0450 ± 0.0000,0.0001 ± 0.0000,,
2000,125.8336 ± 4.5852,18.1015 ± 2.4866,71.4910 ± 5.5132,5.8210 ± 5.9034,0.4978 ± 0.0064,0.0208 ± 0.0015,0.0221 ± 0.0009,-70338.7723 ± 308.8220,-69479.6214 ± 641.0801,-70401.3712 ± 326.9510,-69563.3274 ± 624.7911,110.7221 ± 42.9847,108.2664 ± 8.5790,110.9785 ± 18.1438,0.0900 ± 0.0000,0.0001 ± 0.0000,69705.5487 ± 62.0280,-68242.6497 ± 840.9145
3000,164.5839 ± 6.8722,6.9326 ± 2.9238,84.0230 ± 26.3363,19.0110 ± 27.8844,0.4935 ± 0.0141,0.0183 ± 0.0049,0.0215 ± 0.0010,-70644.2030 ± 995.1808,-69724.4244 ± 299.3400,-70830.6543 ± 1257.7185,-69806.3473 ± 283.8908,104.0407 ± 39.9787,102.9523 ± 8.2737,104.8818 ± 11.3081,0.1350 ± 0.0000,0.0001 ± 0.0000,,
4000,189.5435 ± 11.0114,24.2358 ± 10.3874,92.5480 ± 38.6372,28.3790 ± 40.9765,0.5026 ± 0.0326,0.0366 ± 0.0381,0.0309 ± 0.0211,-70606.4743 ± 1501.4648,-68859.4246 ± 1208.3902,-70836.3838 ± 1895.5667,-68874.3843 ± 1301.4307,109.3987 ± 27.8967,97.6308 ± 9.1927,96.3959 ± 4.2580,0.1800 ± 0.0000,0.0001 ± 0.0000,69258.9718 ± 414.4564,-67462.8515 ± 1216.5057
5000,234.7619 ± 20.1018,11.2445 ± 6.5911,124.7080 ± 58.9570,64.1690 ± 65.7243,0.5342 ± 0.0682,0.0284 ± 0.0107,0.0257 ± 0.0077,-75387.2089 ± 9328.5205,-69834.1985 ± 491.3324,-72390.1175 ± 3206.8770,-69116.2154 ± 1619.8134,100.6488 ± 20.9886,101.1660 ± 15.2505,100.9495 ± 14.8431,0.2250 ± 0.0000,0.0001 ± 0.0000,,
6000,262.9313 ± 24.5698,34.1661 ± 14.8341,124.2340 ± 51.8678,66.0000 ± 61.6622,0.5249 ± 0.0652,0.0279 ± 0.0166,0.0273 ± 0.0111,-78806.8355 ± 17789.7022,-69216.3517 ± 581.5399,-70720.5256 ± 1461.8845,-68213.5075 ± 2422.3637,94.4406 ± 23.7960,105.4609 ± 24.4052,99.3608 ± 28.8493,0.2700 ± 0.0000,0.0001 ± 0.0000,67632.9917 ± 3513.9537,-65666.7008 ± 4345.0516
7000,314.6615 ± 35.0039,11.2441 ± 5.3741,127.1030 ± 64.0193,70.2790 ± 72.8060,0.5713 ± 0.0738,0.0395 ± 0.0273,0.0390 ± 0.0263,-73401.3964 ± 13315.5035,-67099.4033 ± 4060.0339,-69808.4000 ± 5781.7310,-66532.8456 ± 3851.2809,118.0271 ± 50.9809,115.1737 ± 34.4728,119.1700 ± 47.8433,0.3150 ± 0.0000,0.0001 ± 0.0000,,
8000,344.8416 ± 35.3553,37.2065 ± 6.6295,126.2710 ± 25.1739,70.7650 ± 28.8645,0.5907 ± 0.0600,0.0473 ± 0.0304,0.0420 ± 0.0301,-67041.8148 ± 2514.9834,-64162.1199 ± 1683.3558,-66559.6839 ± 2707.6891,-63557.6322 ± 2092.9762,131.7804 ± 36.3673,125.2009 ± 31.9774,127.7029 ± 34.3595,0.3600 ± 0.0000,0.0001 ± 0.0000,63543.8479 ± 3141.1903,-61056.7071 ± 2816.7927
9000,401.4967 ± 34.4849,11.7386 ± 1.9716,121.4220 ± 16.0340,67.5200 ± 18.5674,0.6145 ± 0.0566,0.0584 ± 0.0178,0.0468 ± 0.0215,-65830.0224 ± 965.7372,-63226.7845 ± 1275.9077,-65195.8857 ± 1180.3589,-62813.1324 ± 1162.8434,143.9344 ± 97.4878,143.6018 ± 30.9044,148.8890 ± 34.8566,0.4050 ± 0.0000,0.0001 ± 0.0000,,
10000,432.4513 ± 34.2324,40.4191 ± 5.0521,133.9260 ± 29.0350,84.9300 ± 26.4621,0.6299 ± 0.0433,0.0635 ± 0.0280,0.0573 ± 0.0274,-65742.0288 ± 2141.5420,-63303.4607 ± 987.1289,-65104.4705 ± 2600.4685,-62582.8287 ± 1191.8805,156.4120 ± 31.2932,159.0242 ± 33.4402,162.9734 ± 31.5655,0.4500 ± 0.0000,0.0001 ± 0.0000,61396.8758 ± 1761.1804,-59502.7221 ± 1178.0160
11000,490.1501 ± 34.0944,12.2517 ± 1.0597,127.8370 ± 27.3130,80.7010 ± 20.7512,0.6434 ± 0.0521,0.0884 ± 0.0648,0.0770 ± 0.0595,-65579.9770 ± 1875.2229,-63274.9872 ± 1133.2866,-64864.8657 ± 2019.5199,-62768.3077 ± 1314.4379,178.2143 ± 30.2022,176.6962 ± 29.6937,180.7525 ± 34.7956,0.4950 ± 0.0000,0.0001 ± 0.0000,,
12000,521.1239 ± 32.9816,39.0402 ± 2.5125,124.6260 ± 15.4224,77.2180 ± 12.9373,0.6454 ± 0.0413,0.0783 ± 0.0320,0.0680 ± 0.0287,-64637.9430 ± 1984.0534,-61925.3205 ± 389.1703,-63666.5001 ± 1188.7091,-61372.9653 ± 395.6838,212.4354 ± 76.9096,192.3393 ± 30.2733,195.7084 ± 28.1672,0.5400 ± 0.0000,0.0001 ± 0.0000,60191.2857 ± 1030.2793,-58408.8581 ± 770.3579
13000,579.5645 ± 29.9113,12.8840 ± 2.3919,132.0150 ± 34.6413,88.1260 ± 31.7401,0.6496 ± 0.0366,0.0894 ± 0.0480,0.0844 ± 0.0489,-66222.1570 ± 4440.4170,-61777.1347 ± 501.4122,-64319.4955 ± 2281.7517,-61309.7932 ± 322.7973,193.4019 ± 55.5989,203.2382 ± 29.3837,200.0967 ± 24.3464,0.5850 ± 0.0000,0.0001 ± 0.0000,,
14000,608.7952 ± 29.4029,39.1642 ± 4.6223,125.8680 ± 26.3081,79.4060 ± 24.2855,0.6659 ± 0.0184,0.0803 ± 0.0277,0.0739 ± 0.0320,-66391.0875 ± 7181.2961,-61696.2368 ± 646.4153,-63460.5282 ± 1781.2443,-61126.3756 ± 356.2548,221.3247 ± 54.7183,222.0093 ± 17.0109,222.7585 ± 12.4489,0.6300 ± 0.0000,0.0001 ± 0.0000,59761.9304 ± 696.8986,-58163.4278 ± 450.1695
15000,667.3947 ± 27.2718,11.6294 ± 0.5939,111.5970 ± 14.1228,68.6810 ± 9.9731,0.6742 ± 0.0275,0.1190 ± 0.0749,0.1108 ± 0.0765,-62886.0865 ± 636.5839,-61287.4013 ± 935.4127,-62219.2651 ± 483.2932,-60588.8371 ± 532.3435,243.8342 ± 60.1847,239.5736 ± 19.3680,235.6540 ± 13.0910,0.6750 ± 0.0000,0.0001 ± 0.0000,,
16000,697.0266 ± 27.6343,37.4983 ± 1.9251,111.0660 ± 12.8609,68.8960 ± 8.9236,0.6637 ± 0.0186,0.1066 ± 0.0372,0.0971 ± 0.0356,-62845.4377 ± 621.9292,-61441.0927 ± 676.7791,-62248.6653 ± 605.0921,-60707.5990 ± 339.5297,272.8356 ± 57.0530,252.8213 ± 20.0717,259.7945 ± 33.0200,0.7200 ± 0.0000,0.0001 ± 0.0000,59317.2781 ± 873.3170,-57848.6612 ± 585.8192
