iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
0,35.8393 ± 0.2255,16.4667 ± 0.7580,66.5220 ± 0.1968,0.5540 ± 0.2014,0.4931 ± 0.0138,0.0182 ± 0.0068,0.0211 ± 0.0004,-70245.7346 ± 116.9284,-69376.8544 ± 815.4720,-70305.8727 ± 117.1767,-69325.6848 ± 961.2047,224.8945 ± 58.3848,224.8945 ± 58.3848,224.8945 ± 58.3848,0.0000 ± 0.0000,0.0001 ± 0.0000,69754.4670 ± 119.1226,-68739.2778 ± 930.7162
1,51.8416 ± 0.2719,4.8928 ± 0.0450,66.4400 ± 0.1490,0.4660 ± 0.1570,0.4974 ± 0.0046,0.0248 ± 0.0054,0.0240 ± 0.0067,-70244.9718 ± 115.9545,-69121.2039 ± 798.0023,-70304.4827 ± 116.3462,-69052.2427 ± 927.4253,151.3407 ± 27.5871,188.1176 ± 18.6880,217.5391 ± 50.1913,0.0000 ± 0.0000,0.0001 ± 0.0000,,
10,56.8046 ± 0.2905,4.8167 ± 0.0506,66.1400 ± 0.0584,0.1500 ± 0.0677,0.5014 ± 0.0087,0.0245 ± 0.0251,0.0215 ± 0.0010,-70245.9239 ± 112.6617,-69996.6742 ± 115.8750,-70304.0019 ± 112.6295,-70066.7467 ± 106.5176,173.2954 ± 42.4200,181.1547 ± 18.4495,193.9404 ± 21.4599,0.0005 ± 0.0000,0.0001 ± 0.0000,,
50,62.1704 ± 0.2870,4.7553 ± 0.0311,66.0140 ± 0.0156,0.0160 ± 0.0198,0.5011 ± 0.0030,0.1230 ± 0.2183,0.0214 ± 0.0007,-70244.8500 ± 113.5271,-70174.5226 ± 193.4895,-70301.8511 ± 113.6821,-70231.5332 ± 193.5537,169.0880 ± 35.4405,172.1601 ± 18.6909,166.0699 ± 16.4624,0.0023 ± 0.0000,0.0001 ± 0.0000,,
100,68.8830 ± 2.4950,4.7439 ± 0.0296,66.0150 ± 0.0177,0.0170 ± 0.0220,0.5010 ± 0.0028,0.1211 ± 0.2189,0.0213 ± 0.0005,-70244.8479 ± 113.7579,-70207.7049 ± 151.3375,-70301.7727 ± 113.9557,-70265.1682 ± 151.0210,150.4396 ± 23.1940,163.9666 ± 16.4794,149.4278 ± 11.9485,0.0045 ± 0.0000,0.0001 ± 0.0000,,
500,83.3750 ± 4.8101,5.1075 ± 0.1412,67.4250 ± 0.7370,1.5970 ± 0.9806,0.5027 ± 0.0075,0.0242 ± 0.0112,0.0243 ± 0.0068,-70240.7597 ± 113.2215,-69612.8435 ± 467.1674,-70299.4084 ± 113.6188,-69667.3109 ± 472.6880,102.0721 ± 13.3729,119.0570 ± 7.9884,117.4485 ± 16.0399,0.0225 ± 0.0000,0.0001 ± 0.0000,,
1000,99.1829 ± 6.2014,5.2567 ± 0.1806,68.5250 ± 1.1195,2.6230 ± 1.1629,0.5076 ± 0.0104,0.0248 ± 0.0042,0.0218 ± 0.0012,-70235.7761 ± 108.2655,-69463.9211 ± 376.3648,-70296.2835 ± 109.6078,-69530.6047 ± 367.2560,92.4080 ± 27.9178,111.6515 ± 5.7582,106.8200 ± 5.3461,0.0450 ± 0.0000,0.0001 ± 0.0000,,
2000,127.0522 ± 4.0042,20.9741 ± 6.9170,79.2840 ± 20.2035,13.9600 ± 21.2273,0.4964 ± 0.0286,0.0238 ± 0.0078,0.0216 ± 0.0016,-70596.1323 ± 818.4733,-69535.8051 ± 376.2756,-70709.2026 ± 898.9335,-69634.3622 ± 377.0811,114.5900 ± 10.2584,107.8745 ± 6.6912,110.9964 ± 8.0178,0.0900 ± 0.0000,0.0001 ± 0.0000,69597.0698 ± 149.5465,-68091.5266 ± 1034.5330
3000,167.1061 ± 5.9077,6.7253 ± 3.1601,82.6600 ± 29.9528,17.3660 ± 31.3164,0.4901 ± 0.0288,0.0222 ± 0.0073,0.0211 ± 0.0013,-70684.8525 ± 1121.8690,-69512.3606 ± 680.2654,-70789.7777 ± 1215.0809,-69574.7620 ± 682.9790,95.6580 ± 11.0898,101.8424 ± 5.7329,103.5037 ± 8.9979,0.1350 ± 0.0000,0.0001 ± 0.0000,,
4000,191.8494 ± 11.0455,23.6382 ± 12.5423,93.1290 ± 47.4267,28.2260 ± 49.2877,0.4879 ± 0.0148,0.0185 ± 0.0048,0.0211 ± 0.0012,-70914.8252 ± 1578.7754,-69766.8330 ± 466.6005,-71175.1761 ± 1993.1102,-69828.8233 ± 463.4356,103.0273 ± 39.4984,100.0221 ± 4.9663,100.7248 ± 10.8870,0.1800 ± 0.0000,0.0001 ± 0.0000,69474.1654 ± 413.0499,-68367.2647 ± 1312.4908
5000,231.9042 ± 22.3928,7.0349 ± 2.7099,90.8250 ± 38.2577,25.9760 ± 40.1348,0.5091 ± 0.0229,0.0216 ± 0.0088,0.0220 ± 0.0013,-70627.8334 ± 981.3815,-69689.3657 ± 620.5148,-70859.8454 ± 1343.3239,-69764.3978 ± 622.3886,71.5956 ± 16.8065,96.9684 ± 3.5771,95.5003 ± 6.0294,0.2250 ± 0.0000,0.0001 ± 0.0000,,
6000,255.5049 ± 24.4843,21.9613 ± 5.7003,83.3600 ± 16.8829,17.9330 ± 17.6549,0.5020 ± 0.0056,0.0209 ± 0.0064,0.0213 ± 0.0003,-70219.4092 ± 72.9798,-69419.8024 ± 691.0532,-70284.6210 ± 77.1057,-69408.9808 ± 809.5970,76.6513 ± 5.8665,93.3737 ± 5.8465,90.0420 ± 6.0198,0.2700 ± 0.0000,0.0001 ± 0.0000,69613.1445 ± 98.5934,-68664.8627 ± 959.2904
7000,294.7722 ± 30.0921,7.4667 ± 1.6929,87.8450 ± 15.2545,23.5570 ± 16.2015,0.5215 ± 0.0352,0.0315 ± 0.0144,0.0249 ± 0.0058,-69475.6922 ± 1073.2515,-67913.4238 ± 2155.6446,-69506.6434 ± 1114.0425,-67718.0912 ± 2376.6602,94.9238 ± 24.3919,93.7199 ± 4.2005,91.8097 ± 4.8146,0.3150 ± 0.0000,0.0001 ± 0.0000,,
