iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
0,18.8448 ± 1.0243,12.3594 ± 1.1094,17.5750 ± 0.2725,1.0670 ± 0.4937,0.5665 ± 0.0568,0.1565 ± 0.0149,0.1667 ± 0.0135,-93252.4723 ± 378.6461,-87517.8438 ± 1991.7499,-93257.4540 ± 378.4827,-87515.0195 ± 2006.9440,4506.9659 ± 215.0880,4506.9659 ± 215.0880,4506.9659 ± 215.0880,0.0000 ± 0.0000,0.0001 ± 0.0000,93144.6188 ± 389.4752,-87282.4780 ± 2015.3771
1,27.0051 ± 1.0570,3.8460 ± 0.6744,17.6450 ± 0.2534,1.2460 ± 0.5003,0.5562 ± 0.0787,0.2143 ± 0.0576,0.2016 ± 0.0358,-93112.0383 ± 346.2618,-84243.3272 ± 1760.0859,-93114.2400 ± 350.0539,-84219.4572 ± 1748.3161,4563.3555 ± 142.0824,4535.1606 ± 139.9060,4512.6048 ± 196.8268,0.0000 ± 0.0000,0.0001 ± 0.0000,,
10,35.3517 ± 1.7434,6.3463 ± 2.0322,20.3290 ± 1.9189,7.5670 ± 3.4973,0.6874 ± 0.0693,0.3958 ± 0.1421,0.4022 ± 0.1298,-95115.0069 ± 4605.4162,-78804.7970 ± 2261.1371,-90502.1416 ± 587.6454,-77929.6039 ± 1741.7367,4545.5214 ± 59.0716,4554.4702 ± 65.4325,4533.5564 ± 97.7906,0.0005 ± 0.0000,0.0001 ± 0.0000,,
50,48.0945 ± 1.2934,11.7396 ± 0.8107,36.3970 ± 1.5579,40.1830 ± 3.4188,0.5673 ± 0.0630,0.1745 ± 0.0547,0.1850 ± 0.0491,-153618.9345 ± 5513.0098,-78219.8677 ± 2563.0088,-85339.5513 ± 1087.4252,-77053.7022 ± 2531.5378,4155.7825 ± 267.1762,4368.5836 ± 102.3804,4259.7620 ± 111.5869,0.0023 ± 0.0000,0.0001 ± 0.0000,,
100,58.8319 ± 1.6063,9.9465 ± 0.5355,37.2140 ± 1.1006,42.7130 ± 1.4448,0.5911 ± 0.0483,0.1811 ± 0.0230,0.1953 ± 0.0242,-164404.0701 ± 6260.0308,-100680.1042 ± 22470.4606,-84683.0884 ± 1194.0972,-80429.2419 ± 648.0178,3921.6670 ± 176.0554,4220.1510 ± 91.8841,3955.1815 ± 79.6254,0.0045 ± 0.0000,0.0001 ± 0.0000,,
500,75.0221 ± 1.5720,9.7533 ± 0.4406,42.2400 ± 1.9486,47.9920 ± 0.1767,0.5743 ± 0.1296,0.2068 ± 0.1195,0.2189 ± 0.1178,-157807.4527 ± 2438.8352,-142923.7419 ± 4866.5559,-87878.3047 ± 432.2696,-83567.1042 ± 621.8676,2780.4329 ± 170.9946,3082.9837 ± 30.5824,2861.6247 ± 88.7473,0.0225 ± 0.0000,0.0001 ± 0.0000,,
1000,100.6136 ± 2.3852,8.2281 ± 0.6917,43.7720 ± 0.8739,48.0840 ± 0.2366,0.4891 ± 0.0617,0.1291 ± 0.0164,0.1403 ± 0.0205,-152147.1791 ± 1846.4727,-141974.9771 ± 4386.5553,-88301.7589 ± 403.0432,-85519.8954 ± 258.4250,2411.1301 ± 172.6414,2481.5816 ± 20.0265,2424.6057 ± 64.4589,0.0450 ± 0.0000,0.0001 ± 0.0000,,
2000,124.8565 ± 1.4234,20.5673 ± 0.4267,42.8260 ± 1.4453,47.9970 ± 0.0498,0.5613 ± 0.0701,0.1554 ± 0.0271,0.1680 ± 0.0310,-149569.1069 ± 482.2570,-138524.5037 ± 348.2223,-88225.1464 ± 429.6680,-85858.0939 ± 869.9062,2602.3266 ± 183.4230,2013.7650 ± 26.8662,2016.4420 ± 23.0286,0.0900 ± 0.0000,0.0001 ± 0.0000,75588.5435 ± 512.5914,-73815.7134 ± 410.4136
3000,159.4641 ± 1.5633,7.7285 ± 0.4238,41.4590 ± 2.0303,48.2080 ± 0.4586,0.6083 ± 0.0926,0.1740 ± 0.0421,0.1879 ± 0.0440,-151692.0547 ± 5138.8190,-140187.3954 ± 4187.6840,-88076.9452 ± 443.2848,-85618.7358 ± 469.3089,2704.6829 ± 187.6912,1769.1645 ± 81.5848,1815.2019 ± 80.7949,0.1350 ± 0.0000,0.0001 ± 0.0000,,
4000,180.7322 ± 1.6286,20.3904 ± 0.4498,40.1500 ± 0.6665,48.2490 ± 0.4380,0.6820 ± 0.0548,0.2557 ± 0.0692,0.2792 ± 0.0729,-152070.8602 ± 4857.2005,-144479.8479 ± 9772.5750,-88167.3217 ± 782.4664,-85815.6611 ± 737.8195,2939.2319 ± 132.2794,1642.9202 ± 75.5221,1750.4473 ± 84.1242,0.1800 ± 0.0000,0.0001 ± 0.0000,75050.8934 ± 622.5631,-73629.7092 ± 319.6515
