iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
0,9.6082 ± 1.1424,11.3584 ± 1.3167,17.4890 ± 0.2880,0.8720 ± 0.4750,0.5264 ± 0.0464,0.1587 ± 0.0215,0.1580 ± 0.0148,-93387.0176 ± 378.6094,-87738.7234 ± 1507.6945,-93391.9958 ± 378.4750,-87743.9221 ± 1504.4680,,,,0.0000 ± 0.0000,0.0001 ± 0.0000,93283.9297 ± 390.1434,-87452.5164 ± 1720.8147
1,16.3110 ± 1.3656,2.5264 ± 0.0863,17.4820 ± 0.2978,0.8760 ± 0.4837,0.5235 ± 0.0420,0.1724 ± 0.0416,0.1765 ± 0.0307,-93375.3501 ± 386.6040,-87738.7234 ± 1507.6945,-93380.3076 ± 386.4796,-87743.9221 ± 1504.4680,,,,0.0000 ± 0.0000,0.0001 ± 0.0000,,
10,22.5720 ± 0.8002,2.5551 ± 0.0629,17.4960 ± 0.2761,0.8970 ± 0.4242,0.5105 ± 0.0305,0.1786 ± 0.0257,0.1731 ± 0.0239,-93346.7691 ± 321.9106,-87668.8810 ± 1484.3098,-93351.8412 ± 321.7151,-87674.4581 ± 1481.2904,,,,0.0005 ± 0.0000,0.0001 ± 0.0000,,
50,38.1072 ± 2.2037,3.3455 ± 0.7569,18.4160 ± 1.1588,4.3200 ± 3.2120,0.6604 ± 0.0371,0.2326 ± 0.0523,0.2492 ± 0.0530,-90866.0909 ± 1197.4650,-82318.9599 ± 3385.9127,-90279.4865 ± 2116.7123,-81999.8255 ± 3397.3172,2727.2479 ± 157.2050,2473.5975 ± 84.2859,2489.1766 ± 63.2261,0.0023 ± 0.0000,0.0001 ± 0.0000,,
100,53.9411 ± 4.7696,13.1003 ± 0.4956,38.1480 ± 0.9085,41.2210 ± 2.7539,0.5218 ± 0.0657,0.1720 ± 0.0706,0.1834 ± 0.0682,-155601.9408 ± 9272.3772,-91419.1833 ± 26927.2047,-85587.7391 ± 1167.5221,-78237.7471 ± 2244.6381,2453.1654 ± 284.0039,2509.7564 ± 84.1006,2558.7522 ± 123.8678,0.0045 ± 0.0000,0.0001 ± 0.0000,,
500,76.6844 ± 1.0639,9.3301 ± 0.4946,43.5880 ± 1.2929,47.7640 ± 0.1567,0.5001 ± 0.0915,0.1331 ± 0.0245,0.1436 ± 0.0283,-156509.5963 ± 4153.7228,-138493.7082 ± 208.8847,-88668.2723 ± 242.5085,-84649.6244 ± 934.2943,1989.8631 ± 162.1526,2064.2448 ± 50.5788,2007.4216 ± 82.9718,0.0225 ± 0.0000,0.0001 ± 0.0000,,
1000,92.8614 ± 1.4297,8.2862 ± 0.5630,43.4930 ± 1.8433,47.9530 ± 0.1173,0.5319 ± 0.1011,0.1400 ± 0.0299,0.1505 ± 0.0324,-152363.7518 ± 3759.5245,-138401.3062 ± 363.5712,-88464.0434 ± 848.3633,-85514.0926 ± 340.7373,2046.4944 ± 142.5097,1905.3599 ± 40.5020,1903.0413 ± 66.4530,0.0450 ± 0.0000,0.0001 ± 0.0000,,
2000,115.3566 ± 1.7099,20.5380 ± 0.4144,41.8530 ± 1.3197,47.9430 ± 0.0999,0.6137 ± 0.0712,0.1730 ± 0.0328,0.1888 ± 0.0332,-149133.2436 ± 1060.1641,-138508.3316 ± 154.2375,-88485.3648 ± 451.1229,-85394.8311 ± 371.2511,1685.3886 ± 247.1865,1740.2473 ± 36.2681,1731.8746 ± 82.6317,0.0900 ± 0.0000,0.0001 ± 0.0000,75902.4091 ± 352.4653,-73727.8918 ± 102.5404
3000,149.3975 ± 1.7187,7.5440 ± 0.3160,41.9400 ± 2.0048,47.9750 ± 0.0240,0.5790 ± 0.0486,0.1536 ± 0.0173,0.1658 ± 0.0201,-149409.7492 ± 526.5286,-138625.8151 ± 406.2265,-88391.7090 ± 1005.1818,-86032.1968 ± 813.0812,1683.1877 ± 163.9970,1625.7412 ± 21.4823,1636.9881 ± 43.2701,0.1350 ± 0.0000,0.0001 ± 0.0000,,
4000,169.7351 ± 1.3913,20.0813 ± 0.1411,41.9330 ± 1.5301,47.8990 ± 0.1811,0.6061 ± 0.0603,0.1874 ± 0.0275,0.2021 ± 0.0202,-148199.0236 ± 2192.7627,-140431.2062 ± 4053.8876,-87679.1436 ± 906.9249,-85412.7523 ± 272.7932,1571.7334 ± 123.8198,1572.2450 ± 27.9374,1559.2059 ± 36.6577,0.1800 ± 0.0000,0.0001 ± 0.0000,75438.6473 ± 728.4061,-73721.0857 ± 239.2835
