iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
0,27.0900 ± 0.7187,8.1383 ± 0.5956,17.4930 ± 0.2132,0.9110 ± 0.3213,0.5755 ± 0.0746,0.1877 ± 0.0687,0.1848 ± 0.0480,-93351.8561 ± 277.3838,-87566.1738 ± 1790.0932,-93356.7570 ± 277.1192,-87557.3813 ± 1803.3564,2724.9755 ± 291.0220,2724.9755 ± 291.0220,2724.9755 ± 291.0220,0.0000 ± 0.0000,0.0001 ± 0.0000,93247.8884 ± 283.9627,-87325.4905 ± 1907.1378
1,34.7752 ± 2.0357,2.6032 ± 0.0918,17.5310 ± 0.2269,1.0700 ± 0.4268,0.6003 ± 0.0763,0.2414 ± 0.0943,0.2162 ± 0.0614,-93205.7263 ± 301.7495,-86719.9698 ± 1659.7925,-93209.9819 ± 302.1092,-86654.9888 ± 1690.9519,2630.5052 ± 304.4841,2677.7403 ± 270.9682,2715.5284 ± 282.8343,0.0000 ± 0.0000,0.0001 ± 0.0000,,
10,40.5127 ± 3.4247,2.7046 ± 0.1549,17.7370 ± 0.4322,1.5860 ± 0.7596,0.6271 ± 0.0712,0.2742 ± 0.0980,0.2577 ± 0.0822,-92716.8672 ± 492.5236,-85615.6429 ± 1506.6571,-92721.1599 ± 492.9549,-85550.6765 ± 1572.7562,2584.1423 ± 266.1392,2640.4409 ± 238.5722,2660.5819 ± 206.5814,0.0005 ± 0.0000,0.0001 ± 0.0000,,
50,52.7001 ± 5.3361,9.5487 ± 3.6635,30.4910 ± 6.2479,28.0730 ± 12.0542,0.5723 ± 0.0637,0.1677 ± 0.0397,0.1858 ± 0.0445,-117317.0230 ± 24630.6077,-78656.1911 ± 763.5720,-85034.2219 ± 762.4741,-77821.2766 ± 1100.9312,2570.1093 ± 291.0484,2645.1512 ± 146.5785,2629.0013 ± 152.6210,0.0023 ± 0.0000,0.0001 ± 0.0000,,
100,67.4751 ± 5.7685,10.6956 ± 1.3898,38.5250 ± 3.8945,41.6890 ± 6.9715,0.5377 ± 0.0338,0.1770 ± 0.0653,0.1859 ± 0.0631,-145872.7690 ± 34817.5558,-113567.5635 ± 32514.2055,-85072.6920 ± 2703.7932,-79927.5432 ± 2525.9437,2678.9605 ± 197.3198,2660.2619 ± 110.5234,2665.5528 ± 112.9997,0.0045 ± 0.0000,0.0001 ± 0.0000,,
500,84.4776 ± 3.8609,9.6067 ± 1.2204,42.8430 ± 0.7779,47.9740 ± 0.0481,0.5352 ± 0.0484,0.1395 ± 0.0168,0.1510 ± 0.0194,-153161.7948 ± 3169.6533,-138401.8176 ± 240.6226,-88442.5558 ± 591.8395,-85238.4197 ± 474.3246,2030.7176 ± 181.6021,2067.4317 ± 32.9295,1993.1915 ± 24.4416,0.0225 ± 0.0000,0.0001 ± 0.0000,,
1000,100.4124 ± 3.7909,8.1113 ± 0.3282,43.1320 ± 0.8998,47.9800 ± 0.0265,0.5359 ± 0.0366,0.1363 ± 0.0093,0.1468 ± 0.0099,-149737.8727 ± 894.8526,-140186.2881 ± 4108.5114,-88309.6210 ± 581.4752,-85467.9818 ± 275.1294,1992.4305 ± 77.6317,1895.7919 ± 33.9780,1892.4769 ± 23.5945,0.0450 ± 0.0000,0.0001 ± 0.0000,,
2000,122.9312 ± 3.9304,20.4278 ± 0.3635,42.4750 ± 1.0072,48.0070 ± 0.0373,0.5944 ± 0.0393,0.1546 ± 0.0134,0.1656 ± 0.0145,-149963.3502 ± 153.1257,-142236.1858 ± 4887.5753,-88006.0548 ± 404.1641,-85267.3101 ± 249.9257,2248.7357 ± 201.4270,1737.6723 ± 33.2631,1769.6116 ± 34.4017,0.0900 ± 0.0000,0.0001 ± 0.0000,75688.3952 ± 587.2368,-73777.3322 ± 264.2211
3000,156.7937 ± 3.9746,7.4579 ± 0.1586,42.4020 ± 1.2951,47.9590 ± 0.0472,0.5782 ± 0.0861,0.1533 ± 0.0290,0.1648 ± 0.0324,-149081.2280 ± 616.9670,-140100.4821 ± 4303.5365,-88413.8471 ± 292.7225,-85524.9216 ± 222.3433,2574.2775 ± 185.9797,1634.8050 ± 46.5239,1723.2566 ± 63.2317,0.1350 ± 0.0000,0.0001 ± 0.0000,,
4000,177.1567 ± 3.9757,19.9485 ± 0.1203,43.5690 ± 1.9386,47.9600 ± 0.0601,0.5279 ± 0.0736,0.1370 ± 0.0182,0.1472 ± 0.0199,-149106.8297 ± 957.2274,-144116.6569 ± 5162.6676,-87997.2561 ± 1185.7363,-85649.2550 ± 459.9952,2855.4643 ± 138.6271,1561.2118 ± 24.3049,1665.1745 ± 19.3562,0.1800 ± 0.0000,0.0001 ± 0.0000,75591.1371 ± 833.2418,-73914.6802 ± 302.6228
