metric,mean_std
HC_final_shd,93.2000 ± 3.8987
HC_final_num_edges,49.6000 ± 2.9665
HC_final_bic,-12289.5153 ± 185.2712
HC_final_bdeu,-11599.5947 ± 63.6375
HC_final_neg_posterior_predictive_loglik,10938.6101 ± 35.3710
HC_top_best_bdeu,-11599.5947 ± 63.6375
HC_top_best_bic,-12258.9517 ± 156.2370
HC_top_best_neg_posterior_predictive_loglik,10937.4189 ± 36.3431
HC_top_best_shd,89.8000 ± 1.9235
HC_top_mean_bdeu,-11760.2432 ± 136.2460
HC_top_mean_bic,-12496.7801 ± 253.4758
HC_top_mean_neg_posterior_predictive_loglik,11053.7655 ± 97.6381
HC_top_mean_shd,93.7461 ± 2.8708
