metric,mean_std
HC_final_shd,2.2000 ± 1.0954
HC_final_num_edges,7.0000 ± 0.0000
HC_final_bic,-2314.8233 ± 0.0000
HC_final_bdeu,-2305.5908 ± 0.0000
HC_final_neg_posterior_predictive_loglik,2263.3538 ± 0.0000
HC_top_best_bdeu,-2305.5908 ± 0.0000
HC_top_best_bic,-2314.8233 ± 0.0000
HC_top_best_neg_posterior_predictive_loglik,2263.3538 ± 0.0000
HC_top_best_shd,1.4000 ± 0.8944
HC_top_mean_bdeu,-2307.0071 ± 0.7733
HC_top_mean_bic,-2317.4219 ± 0.9886
HC_top_mean_neg_posterior_predictive_loglik,2265.0045 ± 0.9064
HC_top_mean_shd,4.8300 ± 0.9242
