shd,num_edges,bic,bdeu,posterior_predictive_loglik,neg_posterior_predictive_loglik,rank
13.0,26.0,-12789.847708397892,-12819.799981643358,-12108.473026373389,12108.473026373389,1
12.0,27.0,-12828.338404850687,-12863.325878340209,-12107.456646262906,12107.456646262906,2
17.0,26.0,-12830.458288992259,-12853.895203455779,-12126.540693078454,12126.540693078454,3
11.0,28.0,-12847.09523412914,-12883.39336187436,-12119.582364229567,12119.582364229567,4
18.0,27.0,-12862.614951933449,-12879.535260559736,-12127.328472619467,12127.328472619467,5
16.0,27.0,-12868.948985445053,-12897.42110015263,-12125.524312967975,12125.524312967975,6
15.0,28.0,-12897.09186115929,-12927.812792901674,-12140.367281634635,12140.367281634635,7
16.0,27.0,-12848.474268810447,-12889.745396273256,-12146.761462158947,12146.761462158947,8
17.0,28.0,-12899.996489448418,-12931.508015238856,-12126.038253340654,12126.038253340654,9
15.0,28.0,-12887.705814723502,-12917.48858368678,-12137.650030934632,12137.650030934632,10
