shd,num_edges,bic,bdeu,posterior_predictive_loglik,neg_posterior_predictive_loglik,rank
102.0,74.0,-53786.622373562495,-53151.258242811535,-49424.336401998575,49424.336401998575,1
107.0,75.0,-53809.499859701216,-53190.91396918089,-49409.55311136321,49409.55311136321,2
110.0,76.0,-53840.74409490389,-53223.290660783365,-49420.838212796385,49420.838212796385,3
101.0,75.0,-53803.22953994897,-53173.377153738016,-49420.85140034323,49420.85140034323,4
109.0,75.0,-53862.320649498,-53253.06345286049,-49428.66917174264,49428.66917174264,5
118.0,76.0,-53859.33725332694,-53250.73741268708,-49426.51413603956,49426.51413603956,6
114.0,76.0,-53843.982905432866,-53218.14537127429,-49451.06896714429,49451.06896714429,7
107.0,73.0,-53804.12107611628,-53169.94200181006,-49441.13465203469,49441.13465203469,8
109.0,75.0,-53816.27609794056,-53183.56087473744,-49446.46406737917,49446.46406737917,9
106.0,74.0,-53817.205906303934,-53182.00258781142,-49454.01471213712,49454.01471213712,10
109.0,75.0,-53828.16690105974,-53195.94230782761,-49454.22247024425,49454.22247024425,11
103.0,77.0,-53915.16829504524,-53308.55073904468,-49433.348656270085,49433.348656270085,12
117.0,75.0,-53888.73937783326,-53293.11242153079,-49440.34493110683,49440.34493110683,13
119.0,77.0,-53884.52874522965,-53259.79530561818,-49483.79364000193,49483.79364000193,14
110.0,76.0,-53894.198822050384,-53275.42762549001,-49483.6656795928,49483.6656795928,15
112.0,78.0,-54033.92300446177,-53361.76964751,-49462.74364984586,49462.74364984586,16
108.0,74.0,-53947.894823300245,-53315.062157327346,-49584.59811282721,49584.59811282721,17
