episode,mean_final_edges,mean_shd,best_shd,mean_bic,best_bic,mean_bdeu,best_bdeu
10,51.7,93.5,91.0,-12277.398025899542,-12190.414646814901,-11645.299455672624,-11572.738154371364
20,51.45,93.15,88.0,-12275.409989088843,-12190.414646814901,-11646.206253075252,-11572.738154371364
30,51.36666666666667,92.76666666666667,88.0,-12272.330903493797,-12190.414646814901,-11637.333331861353,-11572.738154371364
40,51.35,92.75,88.0,-12279.71747224249,-12190.414646814901,-11643.730206414697,-11572.738154371364
50,51.26,92.78,88.0,-12273.950457324456,-12188.94816338964,-11643.387709197663,-11572.738154371364
60,51.3,92.9,88.0,-12277.34650702573,-12188.94816338964,-11644.291348333878,-11572.738154371364
70,51.2,92.74285714285715,88.0,-12275.441265177635,-12188.94816338964,-11644.900550561259,-11572.738154371364
80,51.2375,92.8125,88.0,-12278.644580009142,-12182.292258540168,-11645.031618814593,-11572.738154371364
90,51.266666666666666,92.84444444444445,88.0,-12280.01171750035,-12182.292258540168,-11645.531635481779,-11572.738154371364
100,51.28,92.92,88.0,-12283.411694923108,-12182.292258540168,-11646.167403712636,-11572.738154371364
110,51.35454545454545,93.00909090909092,88.0,-12285.053547362422,-12168.651211402625,-11645.531733175634,-11572.738154371364
120,51.38333333333333,93.1,88.0,-12287.328770001019,-12168.651211402625,-11645.500664460491,-11569.274945967412
130,51.33846153846154,93.07692307692308,88.0,-12286.956612247748,-12168.651211402625,-11645.127573200296,-11565.409665854218
140,51.32142857142857,93.07857142857142,88.0,-12287.254331142309,-12168.651211402625,-11643.801221643984,-11561.577449935643
150,51.31333333333333,93.07333333333334,88.0,-12285.934443379134,-12168.651211402625,-11642.97546258462,-11561.577449935643
160,51.30625,93.04375,88.0,-12285.780625510106,-12168.651211402625,-11643.45207495859,-11561.577449935643
170,51.33529411764706,93.05294117647058,88.0,-12288.402537000546,-12168.651211402625,-11644.690952157582,-11561.577449935643
180,51.35,93.05,88.0,-12286.966533840641,-12168.651211402625,-11643.165614760497,-11561.577449935643
190,51.32631578947368,93.02105263157895,88.0,-12286.062507071265,-12168.651211402625,-11642.86298797235,-11561.577449935643
200,51.35,93.01,88.0,-12288.02513412388,-12168.651211402625,-11643.720661918442,-11561.577449935643
210,51.34761904761905,93.0047619047619,88.0,-12287.611649590986,-12168.651211402625,-11643.528546001398,-11561.577449935643
220,51.35454545454545,93.01818181818182,88.0,-12288.198900532188,-12168.651211402625,-11643.744635860729,-11561.577449935643
230,51.334782608695654,93.00434782608696,88.0,-12288.19655343243,-12168.651211402625,-11644.190243012254,-11561.577449935643
240,51.32083333333333,92.9875,88.0,-12288.174844169156,-12168.651211402625,-11644.18111912115,-11561.577449935643
250,51.332,92.996,88.0,-12289.254144541652,-12168.651211402625,-11644.974387661508,-11561.577449935643
260,51.315384615384616,93.0,88.0,-12288.535803305358,-12168.651211402625,-11644.280322369394,-11561.577449935643
270,51.3,92.9888888888889,88.0,-12287.741717308536,-12168.651211402625,-11644.134166163321,-11561.577449935643
280,51.31071428571428,93.01071428571429,88.0,-12287.69789564647,-12168.651211402625,-11644.08473265376,-11561.577449935643
290,51.286206896551725,92.98275862068965,88.0,-12287.530486153188,-12168.651211402625,-11643.750303116723,-11561.577449935643
300,51.29333333333334,93.02666666666667,88.0,-12287.264508694381,-12168.651211402625,-11643.739853515337,-11561.577449935643
310,51.306451612903224,93.04193548387097,88.0,-12287.133811803835,-12168.651211402625,-11643.635328367112,-11561.577449935643
320,51.33125,93.06875,88.0,-12288.268903464032,-12168.651211402625,-11643.726459394145,-11561.577449935643
330,51.32121212121212,93.05454545454545,88.0,-12288.637211417734,-12168.651211402625,-11643.542414570078,-11561.577449935643
340,51.3,93.04117647058824,88.0,-12287.908083009223,-12168.651211402625,-11643.176219788485,-11561.577449935643
350,51.285714285714285,93.02857142857142,88.0,-12287.309288081671,-12168.651211402625,-11642.877402269849,-11561.577449935643
360,51.269444444444446,93.00833333333334,88.0,-12286.436404724262,-12168.651211402625,-11641.967782502328,-11561.577449935643
370,51.25675675675676,92.98648648648648,88.0,-12286.032920596754,-12168.651211402625,-11642.052616267898,-11561.577449935643
380,51.26052631578948,92.98684210526316,88.0,-12286.209037757777,-12168.651211402625,-11641.692172314702,-11561.577449935643
390,51.256410256410255,92.98974358974358,88.0,-12285.849479036859,-12168.651211402625,-11641.494490164288,-11539.347122018313
400,51.25,92.98,88.0,-12285.154962516855,-12168.651211402625,-11640.98214633028,-11539.347122018313
