shd,num_edges,bic,bdeu,posterior_predictive_loglik,neg_posterior_predictive_loglik,rank
99.0,53.0,-12381.804186229387,-11593.035148002018,-10922.909784797846,10922.909784797846,1
97.0,51.0,-12250.957357442068,-11633.396850459209,-10963.72312710989,10963.72312710989,2
97.0,51.0,-12323.610565929008,-11639.80126835854,-10979.833167324194,10979.833167324194,3
98.0,52.0,-12410.461324728401,-11698.95083539317,-10957.555702346364,10957.555702346364,4
98.0,52.0,-12354.440732258185,-11716.127184241195,-11031.760613613596,11031.760613613596,5
98.0,52.0,-12353.34173259652,-11712.183501021616,-11026.459612545592,11026.459612545592,6
98.0,52.0,-12337.921679371328,-11710.236359620823,-11035.854254930955,11035.854254930955,7
95.0,51.0,-12339.15788684487,-11756.960167102981,-11042.22031552012,11042.22031552012,8
98.0,54.0,-12409.083294907898,-11748.926699745234,-11021.837115413702,11021.837115413702,9
95.0,53.0,-12412.858389866416,-11726.539015198941,-11054.618843620277,11054.618843620277,10
99.0,53.0,-12466.883699842636,-11785.427026634003,-11074.342318199575,11074.342318199575,11
96.0,50.0,-12403.659522707274,-11736.434597364301,-11065.646221909381,11065.646221909381,12
99.0,53.0,-12456.249542675952,-11741.772750251574,-11035.473117144753,11035.473117144753,13
97.0,53.0,-12429.29743576775,-11760.077814301938,-11059.82894326343,11059.82894326343,14
99.0,53.0,-12452.229171392233,-11781.806831908376,-11071.224490160814,11071.224490160814,15
99.0,53.0,-12464.512902971932,-11789.116971614581,-11080.82650605144,11080.82650605144,16
99.0,55.0,-12546.462743098762,-11811.334166686558,-11065.654460821353,11065.654460821353,17
101.0,55.0,-12570.899037852449,-11836.073365245678,-11071.865280729047,11071.865280729047,18
99.0,57.0,-12577.31332953949,-11784.807339760788,-11057.268308701094,11057.268308701094,19
