shd,num_edges,bic,bdeu,posterior_predictive_loglik,neg_posterior_predictive_loglik,rank
94.0,68.0,-53444.590261122125,-52960.966604711204,-49446.735546761265,49446.735546761265,1
90.0,68.0,-53472.11439415293,-52989.17744842191,-49462.454170804536,49462.454170804536,2
91.0,71.0,-53542.090023132354,-53065.20960226542,-49459.67398952947,49459.67398952947,3
99.0,75.0,-53684.16196080339,-53088.185487130395,-49448.08810555235,49448.08810555235,4
83.0,71.0,-53725.1466811578,-52993.02794172585,-49427.94798784388,49427.94798784388,5
104.0,72.0,-53733.70969730706,-53110.483969393805,-49446.2289801657,49446.2289801657,6
91.0,71.0,-53713.313577056906,-53060.42377681881,-49458.241422708576,49458.241422708576,7
113.0,75.0,-53784.88740451771,-53067.62674238739,-49445.838178458216,49445.838178458216,8
88.0,68.0,-53694.80442055168,-53064.715002529854,-49517.43402910163,49517.43402910163,9
95.0,73.0,-53836.32853418069,-53105.66784840555,-49475.97847804066,49475.97847804066,10
100.0,72.0,-53679.811023913535,-52999.778102823715,-49504.553024025954,49504.553024025954,11
96.0,72.0,-53899.12164857294,-53093.57806358295,-49483.6488892917,49483.6488892917,12
101.0,75.0,-53920.75003672625,-53150.449038179235,-49488.173730544084,49488.173730544084,13
103.0,71.0,-53793.709586619734,-53146.86215939017,-49603.09836781915,49603.09836781915,14
107.0,73.0,-53840.95941121242,-53230.136219148706,-49586.64397437842,49586.64397437842,15
