shd,num_edges,bic,bdeu,posterior_predictive_loglik,neg_posterior_predictive_loglik,rank
63.0,69.0,-53427.587798412016,-52973.883788566105,-49360.121449263264,49360.121449263264,1
59.0,69.0,-53439.06023425089,-52986.58698016291,-49361.3440281602,49361.3440281602,2
53.0,69.0,-53455.260401788364,-53012.88431156774,-49358.23832754808,49358.23832754808,3
56.0,68.0,-53457.33222568186,-53018.61384629026,-49367.461206499465,49367.461206499465,4
61.0,69.0,-53441.16635952164,-53010.85514009648,-49374.63381943537,49374.63381943537,5
57.0,67.0,-53425.23255729027,-52984.67407350757,-49395.8391349831,49395.8391349831,6
60.0,68.0,-53391.196972143305,-52928.51070181339,-49408.87833212024,49408.87833212024,7
61.0,69.0,-53492.98356211684,-53074.300543226505,-49383.71144419713,49383.71144419713,8
66.0,70.0,-53434.22341347389,-52992.252142344005,-49393.48546919137,49393.48546919137,9
65.0,69.0,-53404.73630914547,-52941.50521925414,-49412.46832276817,49412.46832276817,10
66.0,70.0,-53435.97887098073,-52995.662409489254,-49393.61509041173,49393.61509041173,11
61.0,69.0,-53469.84006822536,-53049.58332669921,-49389.849355828286,49389.849355828286,12
53.0,69.0,-53485.50451525309,-53063.95342696318,-49396.82507463355,49396.82507463355,13
74.0,72.0,-53475.31090852405,-53042.04004027481,-49399.17608314186,49399.17608314186,14
67.0,71.0,-53519.87214618114,-53117.01328590726,-49381.78908810039,49381.78908810039,15
65.0,71.0,-53522.67278468992,-53107.13349928204,-49412.48886332042,49412.48886332042,16
66.0,70.0,-53581.45202289041,-53222.46217728054,-49387.09693289471,49387.09693289471,17
60.0,70.0,-53618.717984773306,-53130.51671130155,-49403.5884112438,49403.5884112438,18
78.0,74.0,-53655.833017564735,-53117.64534067158,-49426.66988233301,49426.66988233301,19
